"muni_idx","diferencia_pp","dif_q025","dif_q975","prev_ESH","fuente_ESH","priv_ESH","prev_AHA","fuente_AHA","priv_AHA","ambos_directos","suprimir_privacidad","cve_ent","cve_mun","nomgeo"
2197,-25.556941106182,-56.4876057634826,5.96723250737575,0.586165429132596,"sintetico_postestratificado",FALSE,0.330596018070776,"sintetico_postestratificado",FALSE,FALSE,FALSE,"30","002","Acatlán"
2198,-25.6310322949514,-56.5849249256953,5.28891751615813,0.531987782437686,"sintetico_postestratificado",FALSE,0.275677459488172,"sintetico_postestratificado",FALSE,FALSE,FALSE,"30","001","Acajete"
2199,-24.4446156722087,-52.2296171449056,6.72446679515412,0.54647362073473,"sintetico_postestratificado",FALSE,0.302027464012643,"sintetico_postestratificado",FALSE,FALSE,FALSE,"30","003","Acayucan"
2200,-24.1783693263379,-52.8697695036819,7.14159421250986,0.571350472767762,"sintetico_postestratificado",FALSE,0.329566779504384,"sintetico_postestratificado",FALSE,FALSE,FALSE,"30","120","Oteapan"
2201,-25.2770730120226,-52.8492676620281,5.22918612709954,0.606587390651551,"sintetico_postestratificado",FALSE,0.353816660531324,"sintetico_postestratificado",FALSE,FALSE,FALSE,"30","127","La Perla"
2202,-21.8949645826923,-47.5577094778669,5.34261334728917,0.605838459133809,"muestra_directa",TRUE,0.386888813306886,"muestra_directa",TRUE,TRUE,TRUE,"30","048","Cosoleacaque"
2203,-25.4022297526211,-51.4527532423063,5.94657394165812,0.581514038166022,"sintetico_postestratificado",FALSE,0.32749174063981,"sintetico_postestratificado",FALSE,FALSE,FALSE,"30","059","Chinameca"
2204,-25.2674453132011,-52.8256660379765,5.85064710543135,0.556806820811376,"sintetico_postestratificado",FALSE,0.304132367679365,"sintetico_postestratificado",FALSE,FALSE,FALSE,"30","100","Manlio Fabio Altamirano"
2205,-28.7158671381376,-52.3103094275209,-3.67320083276897,0.523391114363331,"muestra_directa",TRUE,0.236232442981955,"muestra_directa",FALSE,TRUE,TRUE,"30","087","Xalapa"
2206,-24.0598583479541,-51.5371920522708,6.24881563518173,0.551895867171717,"sintetico_postestratificado",FALSE,0.311297283692176,"sintetico_postestratificado",FALSE,FALSE,FALSE,"30","097","Lerdo de Tejada"
