muni_idx,prev_ESH,prev_AHA,diferencia_pp,cve_ent,cve_mun,nomgeo,suprimir_privacidad
375,0.649941562154483,0.51369632057815,-13.6245241576332,11,017,Irapuato,FALSE
376,,,,11,018,Jaral del Progreso,TRUE
378,,,,12,031,General Canuto A. Neri,TRUE
385,,,,12,053,San Marcos,TRUE
388,,,,12,007,Arcelia,TRUE
389,,,,12,012,Ayutla de los Libres,TRUE
392,,,,12,011,Atoyac de Álvarez,TRUE
393,,,,12,032,General Heliodoro Castillo,TRUE
395,,,,12,029,Chilpancingo de los Bravo,TRUE
398,,,,12,039,Juan R. Escudero,TRUE
399,,,,12,038,Zihuatanejo de Azueta,TRUE
404,0.635708159011894,0.468067267772711,-16.7640891239184,12,001,Acapulco de Juárez,FALSE
412,,,,12,042,Mártir de Cuilapan,TRUE
415,,,,12,075,Eduardo Neri,TRUE
423,,,,12,062,Tlacoachistlahuaca,TRUE
427,,,,12,027,Cutzamala de Pinzón,TRUE
435,,,,12,061,Tixtla de Guerrero,TRUE
437,,,,12,056,Tecoanapa,TRUE
440,,,,12,035,Iguala de la Independencia,TRUE
450,,,,12,051,Quechultenango,TRUE
455,,,,12,014,Benito Juárez,TRUE
463,,,,13,010,Atitalaquia,TRUE
466,,,,13,080,Yahualica,TRUE
468,,,,13,041,Mixquiahuala de Juárez,TRUE
474,,,,13,018,Chapulhuacán,TRUE
475,,,,13,035,Metepec,TRUE
477,0.506021191247465,0.267468773130127,-23.8552418117338,13,037,Metztitlán,FALSE
482,,,,13,024,Huasca de Ocampo,TRUE
488,,,,13,008,Apan,TRUE
491,,,,13,069,Tizayuca,TRUE
492,0.600573647896552,0.390031683906834,-21.0541963989717,13,076,Tula de Allende,FALSE
495,,,,13,051,Mineral de la Reforma,TRUE
498,,,,13,029,Huichapan,TRUE
501,,,,13,054,San Salvador,TRUE
503,,,,13,006,Alfajayucan,TRUE
504,,,,13,048,Pachuca de Soto,TRUE
506,,,,13,027,Huehuetla,TRUE
507,,,,13,028,Huejutla de Reyes,TRUE
510,,,,13,063,Tepeji del Río de Ocampo,TRUE
523,,,,13,046,San Felipe Orizatlán,TRUE
527,,,,13,077,Tulancingo de Bravo,TRUE
532,,,,13,061,Tepeapulco,TRUE
543,,,,13,057,Singuilucan,TRUE
549,,,,14,101,Tonalá,TRUE
559,,,,14,097,Tlajomulco de Zúñiga,TRUE
570,,,,14,120,Zapopan,TRUE
580,0.59823424281631,0.351511863689247,-24.6722379127063,14,098,San Pedro Tlaquepaque,FALSE
588,,,,14,093,Tepatitlán de Morelos,TRUE
591,,,,14,021,Casimiro Castillo,TRUE
596,,,,14,044,Ixtlahuacán de los Membrillos,TRUE
597,0.732242178941848,0.449790520347969,-28.2451658593878,14,039,Guadalajara,FALSE
603,,,,14,066,Poncitlán,TRUE
607,,,,14,002,Acatlán de Juárez,TRUE
616,,,,14,067,Puerto Vallarta,TRUE
634,,,,14,058,Mascota,TRUE
640,,,,14,053,Lagos de Moreno,TRUE
647,,,,14,046,Jalostotitlán,TRUE
662,,,,14,083,Tala,TRUE
666,,,,14,008,Arandas,TRUE
671,,,,15,021,Coatepec Harinas,TRUE
677,,,,15,068,Ozumba,TRUE
678,,,,15,082,Tejupilco,TRUE
681,,,,15,118,Zinacantepec,TRUE
682,,,,15,094,Tepetlixpa,TRUE
683,,,,15,074,San Felipe del Progreso,TRUE
688,,,,15,104,Tlalnepantla de Baz,TRUE
692,,,,15,025,Chalco,TRUE
694,,,,15,100,Tezoyuca,TRUE
695,,,,15,040,Ixtapan de la Sal,TRUE
698,0.767208868054906,0.50283464968442,-26.4374218370486,15,109,Tultitlán,FALSE
699,,,,15,012,Atizapán,TRUE
705,,,,15,024,Cuautitlán,TRUE
707,,,,15,007,Amanalco,TRUE
708,,,,15,120,Zumpango,TRUE
709,,,,15,042,Ixtlahuaca,TRUE
710,,,,15,084,Temascalapa,TRUE
718,,,,15,057,Naucalpan de Juárez,TRUE
719,,,,15,105,Tlatlaya,TRUE
