muni_idx,obs,pred_bym2,pred_naive,pred_naive_global,n,n_efectivo,vecinos_retenidos,estrato_vecinos,suprimir_privacidad
359,0.594539083708576,0.849627845312585,0.813267592668092,0.809635758707129,18,5.75989096580002,1,1-2,FALSE
360,0.88171869450862,0.79491647651888,0.81030031101233,0.809635758707129,14,10.2639251617562,5,3+,FALSE
361,,,,,,,,,TRUE
363,,,,,,,,,TRUE
364,,,,,,,,,TRUE
365,,,,,,,,,TRUE
366,,,,,,,,,TRUE
367,0.958678699717574,0.846744169649729,0.81030031101233,0.809635758707129,11,8.06051496605451,5,3+,FALSE
368,1,0.846383744644135,0.801200284820203,0.809635758707129,13,10.9118413827888,4,3+,FALSE
370,,,,,,,,,TRUE
371,,,,,,,,,TRUE
373,0.714816208987634,0.800384919947014,0.813267592668092,0.809635758707129,23,17.1985097980071,3,3+,FALSE
374,,,,,,,,,TRUE
375,0.489318756989895,0.779861449204973,0.813267592668092,0.809635758707129,41,10.8883439096012,3,3+,FALSE
376,,,,,,,,,TRUE
378,,,,,,,,,TRUE
385,,,,,,,,,TRUE
388,,,,,,,,,TRUE
389,,,,,,,,,TRUE
392,,,,,,,,,TRUE
393,,,,,,,,,TRUE
395,,,,,,,,,TRUE
398,,,,,,,,,TRUE
399,,,,,,,,,TRUE
402,,,,,,,,,TRUE
404,0.483748042350368,0.714964315086283,0.81030031101233,0.809635758707129,24,15.1604404548338,3,3+,FALSE
412,,,,,,,,,TRUE
415,,,,,,,,,TRUE
423,,,,,,,,,TRUE
427,,,,,,,,,TRUE
435,,,,,,,,,TRUE
437,,,,,,,,,TRUE
440,,,,,,,,,TRUE
450,,,,,,,,,TRUE
455,,,,,,,,,TRUE
463,,,,,,,,,TRUE
466,,,,,,,,,TRUE
468,,,,,,,,,TRUE
474,,,,,,,,,TRUE
475,,,,,,,,,TRUE
477,1,0.809168976027776,0.813267592668092,0.809635758707129,11,9.05744291737992,0,0,FALSE
482,,,,,,,,,TRUE
488,,,,,,,,,TRUE
491,,,,,,,,,TRUE
492,0.965463773545537,0.820991854199925,0.801938453902787,0.809635758707129,11,8.46214819855142,2,1-2,FALSE
495,,,,,,,,,TRUE
498,,,,,,,,,TRUE
501,,,,,,,,,TRUE
503,,,,,,,,,TRUE
504,,,,,,,,,TRUE
506,,,,,,,,,TRUE
507,,,,,,,,,TRUE
510,,,,,,,,,TRUE
523,0.88792215005417,0.886273318395411,0.820749321398908,0.809635758707129,10,8.33705726792962,1,1-2,FALSE
527,,,,,,,,,TRUE
532,,,,,,,,,TRUE
543,,,,,,,,,TRUE
549,0.69530509321722,0.830144290916575,0.801200284820203,0.809635758707129,11,9.36051679892943,1,1-2,FALSE
559,,,,,,,,,TRUE
570,0.816284698894901,0.870033413876927,0.801938453902787,0.809635758707129,10,8.83127816172765,4,3+,FALSE
580,0.868060387476581,0.83739495357974,0.81030031101233,0.809635758707129,14,11.080772003415,4,3+,FALSE
588,,,,,,,,,TRUE
591,,,,,,,,,TRUE
596,,,,,,,,,TRUE
597,0.858088170176967,0.872370833179068,0.801200284820203,0.809635758707129,23,13.9383986666931,2,1-2,FALSE
603,,,,,,,,,TRUE
607,,,,,,,,,TRUE
616,,,,,,,,,TRUE
634,,,,,,,,,TRUE
640,,,,,,,,,TRUE
647,,,,,,,,,TRUE
662,,,,,,,,,TRUE
666,0.355071292496227,0.680201103856111,0.81030031101233,0.809635758707129,10,8.43494094861208,2,1-2,FALSE
671,,,,,,,,,TRUE
677,,,,,,,,,TRUE
678,,,,,,,,,TRUE
681,0.662001358636449,0.632719854772795,0.820749321398908,0.809635758707129,12,5.98086500519967,3,3+,FALSE
682,,,,,,,,,TRUE
683,,,,,,,,,TRUE
688,,,,,,,,,TRUE
692,0.811657326085367,0.778579297988962,0.820749321398908,0.809635758707129,10,6.35632505111522,3,3+,FALSE
694,,,,,,,,,TRUE
695,,,,,,,,,TRUE
698,0.97390884316583,0.752098475825569,0.801938453902787,0.809635758707129,23,9.25679329025253,5,3+,FALSE
699,,,,,,,,,TRUE
705,,,,,,,,,TRUE
707,,,,,,,,,TRUE
708,,,,,,,,,TRUE
709,,,,,,,,,TRUE
710,,,,,,,,,TRUE
713,,,,,,,,,TRUE
718,,,,,,,,,TRUE
719,,,,,,,,,TRUE
720,0.878873471302349,0.675871257141097,0.801938453902787,0.809635758707129,15,10.7672683763615,3,3+,FALSE
724,,,,,,,,,TRUE
725,,,,,,,,,TRUE
726,,,,,,,,,TRUE
734,,,,,,,,,TRUE
736,0.717260512929789,0.764001465303796,0.813267592668092,0.809635758707129,16,11.5083993964787,3,3+,FALSE
738,0.913693806944113,0.829285614393869,0.81030031101233,0.809635758707129,13,10.1423283183971,4,3+,FALSE
743,1,0.824369217457842,0.801200284820203,0.809635758707129,12,7.64278067208616,6,3+,FALSE
749,,,,,,,,,TRUE
750,,,,,,,,,TRUE
751,,,,,,,,,TRUE
759,,,,,,,,,TRUE
760,,,,,,,,,TRUE
761,,,,,,,,,TRUE
766,,,,,,,,,TRUE
770,0.672742112645846,0.62146918918517,0.820749321398908,0.809635758707129,25,9.16484619405487,7,3+,FALSE
771,,,,,,,,,TRUE
774,,,,,,,,,TRUE
776,,,,,,,,,TRUE
777,,,,,,,,,TRUE
778,,,,,,,,,TRUE
