muni_idx,obs,pred_bym2,pred_naive,pred_naive_global,n,n_efectivo,vecinos_retenidos,estrato_vecinos,suprimir_privacidad
1946,,,,,,,,,TRUE
1955,,,,,,,,,TRUE
1966,0.858387157265861,0.625243440623859,0.635710864041502,0.640306708611525,16,12.5845798556203,1,1-2,FALSE
1967,0.308093083255792,0.600785099369594,0.642382924876446,0.640306708611525,15,13.4579811820958,1,1-2,FALSE
1968,,,,,,,,,TRUE
1971,,,,,,,,,TRUE
1983,0.542271473537964,0.649014186195448,0.642382924876446,0.640306708611525,13,11.5005742092387,5,3+,FALSE
1984,,,,,,,,,TRUE
1985,,,,,,,,,TRUE
1988,,,,,,,,,TRUE
1989,0.705178818518822,0.574597012480558,0.635710864041502,0.640306708611525,18,12.9209227001551,3,3+,FALSE
1991,0.628032009695336,0.637840140388447,0.635710864041502,0.640306708611525,31,17.1193416105047,5,3+,FALSE
1992,0.822279001668478,0.628850505037545,0.648467319417765,0.640306708611525,16,10.1582485028776,3,3+,FALSE
1993,,,,,,,,,TRUE
1994,0.731236603583197,0.584746017781141,0.642382924876446,0.640306708611525,20,14.7872652351721,1,1-2,FALSE
1995,,,,,,,,,TRUE
1996,,,,,,,,,TRUE
1997,,,,,,,,,TRUE
1998,0.573125396501541,0.65235436970863,0.637025391793251,0.640306708611525,13,8.07079562854149,3,3+,FALSE
2000,0.340089066256239,0.647762814024036,0.642382924876446,0.640306708611525,17,5.20747425934619,3,3+,FALSE
2001,,,,,,,,,TRUE
2010,0.54551136633436,0.642916189138616,0.635710864041502,0.640306708611525,13,10.745699955835,3,3+,FALSE
2012,,,,,,,,,TRUE
2014,0.644952809215892,0.703620132146407,0.648467319417765,0.640306708611525,10,8.11781447221658,1,1-2,FALSE
2015,,,,,,,,,TRUE
2016,,,,,,,,,TRUE
2020,0.732122182490452,0.647265897557142,0.635710864041502,0.640306708611525,17,10.0841010851025,1,1-2,FALSE
2023,,,,,,,,,TRUE
2026,,,,,,,,,TRUE
2030,,,,,,,,,TRUE
2032,,,,,,,,,TRUE
2038,,,,,,,,,TRUE
2042,,,,,,,,,TRUE
2043,,,,,,,,,TRUE
2046,,,,,,,,,TRUE
2048,,,,,,,,,TRUE
2051,,,,,,,,,TRUE
2056,,,,,,,,,TRUE
2057,,,,,,,,,TRUE
2058,,,,,,,,,TRUE
2059,,,,,,,,,TRUE
2062,,,,,,,,,TRUE
2066,,,,,,,,,TRUE
2067,,,,,,,,,TRUE
2068,,,,,,,,,TRUE
2072,,,,,,,,,TRUE
2073,,,,,,,,,TRUE
2076,,,,,,,,,TRUE
2077,,,,,,,,,TRUE
2078,,,,,,,,,TRUE
2080,,,,,,,,,TRUE
2081,,,,,,,,,TRUE
2084,,,,,,,,,TRUE
2085,,,,,,,,,TRUE
2088,0.823783960274392,0.608923873195648,0.635710864041502,0.640306708611525,10,7.61932431719569,1,1-2,FALSE
2089,,,,,,,,,TRUE
2091,,,,,,,,,TRUE
2112,,,,,,,,,TRUE
2113,,,,,,,,,TRUE
2118,,,,,,,,,TRUE
2123,,,,,,,,,TRUE
2127,,,,,,,,,TRUE
2134,,,,,,,,,TRUE
2155,,,,,,,,,TRUE
2157,,,,,,,,,TRUE
2163,,,,,,,,,TRUE
2166,,,,,,,,,TRUE
2168,,,,,,,,,TRUE
2169,,,,,,,,,TRUE
2187,,,,,,,,,TRUE
2202,,,,,,,,,TRUE
2205,,,,,,,,,TRUE
2214,,,,,,,,,TRUE
2222,,,,,,,,,TRUE
2227,,,,,,,,,TRUE
2229,,,,,,,,,TRUE
2233,,,,,,,,,TRUE
2243,,,,,,,,,TRUE
2250,,,,,,,,,TRUE
2277,,,,,,,,,TRUE
2280,0.840769796834305,0.61153182725873,0.637829134524193,0.640306708611525,15,13.6567616460866,2,1-2,FALSE
2281,,,,,,,,,TRUE
2288,,,,,,,,,TRUE
2291,,,,,,,,,TRUE
2298,,,,,,,,,TRUE
2299,,,,,,,,,TRUE
2303,,,,,,,,,TRUE
2307,,,,,,,,,TRUE
2311,,,,,,,,,TRUE
2314,0.501254156178674,0.528091473916702,0.642382924876446,0.640306708611525,10,7.20147376931161,0,0,FALSE
2318,,,,,,,,,TRUE
2333,,,,,,,,,TRUE
2335,,,,,,,,,TRUE
2348,0.44185574492726,0.629864624363944,0.642382924876446,0.640306708611525,36,12.757142644112,2,1-2,FALSE
2349,,,,,,,,,TRUE
2363,,,,,,,,,TRUE
2365,,,,,,,,,TRUE
2374,,,,,,,,,TRUE
2376,,,,,,,,,TRUE
2378,,,,,,,,,TRUE
2383,,,,,,,,,TRUE
2385,,,,,,,,,TRUE
2387,,,,,,,,,TRUE
2404,,,,,,,,,TRUE
2408,,,,,,,,,TRUE
2409,,,,,,,,,TRUE
2410,,,,,,,,,TRUE
2414,,,,,,,,,TRUE
2422,,,,,,,,,TRUE
2425,,,,,,,,,TRUE
2426,,,,,,,,,TRUE
2428,,,,,,,,,TRUE
2430,,,,,,,,,TRUE
2431,0.447498314313067,0.654096951614913,0.642382924876446,0.640306708611525,13,9.20053915330831,4,3+,FALSE
2433,,,,,,,,,TRUE
2436,,,,,,,,,TRUE
2439,,,,,,,,,TRUE
2441,,,,,,,,,TRUE
2451,0.703434854422816,0.686585674241752,0.637829134524193,0.640306708611525,18,11.3431974241157,3,3+,FALSE
2455,0.916906015340953,0.670702510744568,0.642382924876446,0.640306708611525,10,8.75675486742403,2,1-2,FALSE
2463,0.64665485756119,0.700859207653236,0.648467319417765,0.640306708611525,11,8.47881548125696,2,1-2,FALSE
2464,,,,,,,,,TRUE
2466,,,,,,,,,TRUE
2467,,,,,,,,,TRUE
2468,,,,,,,,,TRUE
2469,,,,,,,,,TRUE
2471,,,,,,,,,TRUE
2473,,,,,,,,,TRUE
