muni_idx,prev_principal_ponderado,prev_sensibilidad_sin_ponderar,n,dif_sin_menos_principal_pp,quintil_principal,quintil_sin_ponderar,cambia_quintil,estrato_n,suprimir_privacidad
492,0.359827677108058,0.359865785520577,34,0.00381084125192777,2,2,FALSE,n>=30,FALSE
495,0.226214152330325,0.279961729082687,21,5.37475767523622,1,1,FALSE,n=10-29,FALSE
498,,,,,,,,,TRUE
501,,,,,,,,,TRUE
503,0.399360155292366,0.372524308091309,13,-2.68358472010566,3,2,TRUE,n=10-29,FALSE
504,0.594519250866352,0.55293047315124,18,-4.15887777151123,5,5,FALSE,n=10-29,FALSE
506,0.441504736428275,0.448039497180952,11,0.653476075267734,4,4,FALSE,n=10-29,FALSE
507,0.415668969376344,0.428996209029345,15,1.33272396530016,3,4,TRUE,n=10-29,FALSE
510,,,,,,,,,TRUE
523,0.470358476872137,0.470134711261451,22,-0.0223765610685434,4,4,FALSE,n=10-29,FALSE
527,0.364252153918225,0.410574816073547,11,4.63226621553218,2,3,TRUE,n=10-29,FALSE
530,,,,,,,,,TRUE
532,,,,,,,,,TRUE
542,,,,,,,,,TRUE
543,0.238467402511903,0.265352117248752,33,2.6884714736849,1,1,FALSE,n>=30,FALSE
549,0.40873086104767,0.443177387318692,25,3.4446526271022,3,4,TRUE,n=10-29,FALSE
559,0.327080730435954,0.328154172797169,13,0.107344236121498,2,1,TRUE,n=10-29,FALSE
570,0.365035768826467,0.415242910570394,27,5.0207141743927,2,3,TRUE,n=10-29,FALSE
580,0.348368994872149,0.390460227026595,31,4.20912321544464,2,3,TRUE,n>=30,FALSE
588,0.280386206894721,0.276325612448376,11,-0.406059444634516,1,1,FALSE,n=10-29,FALSE
591,,,,,,,,,TRUE
596,0.246986282601081,0.318678378277573,14,7.1692095676492,1,1,FALSE,n=10-29,FALSE
597,0.508032228006376,0.48844927735674,45,-1.95829506496362,5,5,FALSE,n>=30,FALSE
603,,,,,,,,,TRUE
607,,,,,,,,,TRUE
616,0.493235116639189,0.487788728738823,11,-0.544638790036656,4,5,TRUE,n=10-29,FALSE
625,,,,,,,,,TRUE
634,,,,,,,,,TRUE
640,0.362899014119603,0.431738029259218,12,6.88390151396144,2,4,TRUE,n=10-29,FALSE
647,0.429510959920563,0.438911155764278,10,0.940019584371521,4,4,FALSE,n=10-29,FALSE
662,,,,,,,,,TRUE
666,0.339395894323751,0.433946417214515,19,9.45505228907649,2,4,TRUE,n=10-29,FALSE
671,0.341877559661359,0.344257765333378,16,0.23802056720193,2,2,FALSE,n=10-29,FALSE
677,,,,,,,,,TRUE
678,,,,,,,,,TRUE
