"muni_idx","prev_ESH","prev_AHA","diferencia_pp","cve_ent","cve_mun","nomgeo"
492,0.635197596729455,0.359827631002418,-27.5369965727037,"13","076","Tula de Allende"
495,0.551438194741484,0.226214077015663,-32.5224117725821,"13","051","Mineral de la Reforma"
498,0.683126235750247,0.419800414192513,-26.3325821557735,"13","029","Huichapan"
501,0.79396162341609,0.721872125468527,-7.2089497947563,"13","054","San Salvador"
503,0.596898362486411,0.399360165748885,-19.7538196737526,"13","006","Alfajayucan"
504,0.775208109330523,0.594519265782373,-18.0688843548151,"13","048","Pachuca de Soto"
506,0.591348424572216,0.441504726905653,-14.9843697666563,"13","027","Huehuetla"
507,0.63701675790648,0.415668928529599,-22.1347829376881,"13","028","Huejutla de Reyes"
510,0.708135981996012,0.455275942282968,-25.2860039713045,"13","063","Tepeji del Río de Ocampo"
523,0.70503310280951,0.47035843442035,-23.467466838916,"13","046","San Felipe Orizatlán"
527,0.57929397692766,0.364252058180418,-21.5041918747242,"13","077","Tulancingo de Bravo"
530,0.487619428979827,0.300164187974167,-18.745524100566,"13","002","Acaxochitlán"
532,0.667399141713767,0.388032283106688,-27.9366858607079,"13","061","Tepeapulco"
543,0.4861178073967,0.238467373884766,-24.7650433511934,"13","057","Singuilucan"
549,0.608758286366291,0.408730881077873,-20.0027405288419,"14","101","Tonalá"
559,0.607583267985932,0.327080836050711,-28.0502431935221,"14","097","Tlajomulco de Zúñiga"
570,0.582267514564553,0.36503573734575,-21.7231777218803,"14","120","Zapopan"
580,0.62826850869578,0.348369012670569,-27.989949602521,"14","098","San Pedro Tlaquepaque"
588,0.507022470794278,0.280386238534238,-22.663623226004,"14","093","Tepatitlán de Morelos"
591,0.614605380982884,0.489813821409091,-12.4791559573793,"14","021","Casimiro Castillo"
596,0.420511924745236,0.246986213775756,-17.3525710969481,"14","044","Ixtlahuacán de los Membrillos"
597,0.689313977180081,0.508032281210053,-18.1281695970028,"14","039","Guadalajara"
603,0.62504353036783,0.407531841235867,-21.7511689131963,"14","066","Poncitlán"
607,0.685815545614367,0.495673323649312,-19.0142221965055,"14","002","Acatlán de Juárez"
616,0.654132409974368,0.49323523994578,-16.0897170028587,"14","067","Puerto Vallarta"
625,0.629928253438324,0.452722674969849,-17.7205578468474,"14","032","Chiquilistlán"
634,0.617527487951609,0.464776293251841,-15.2751194699769,"14","058","Mascota"
640,0.623685719759969,0.362898872569287,-26.0786847190681,"14","053","Lagos de Moreno"
647,0.619348543290751,0.429510948314995,-18.9837594975755,"14","046","Jalostotitlán"
662,0.608760480517283,0.40565651738674,-20.3103963130543,"14","083","Tala"
666,0.474027547800104,0.339395827950451,-13.4631719849652,"14","008","Arandas"
671,0.544927335630916,0.341877491657542,-20.3049843973374,"15","021","Coatepec Harinas"
677,0.730152272642391,0.499456759180578,-23.0695513461814,"15","068","Ozumba"
678,0.525373688095496,0.29443146488244,-23.0942223213056,"15","082","Tejupilco"
681,0.64420765996897,0.361667735721169,-28.2539924247801,"15","118","Zinacantepec"
682,0.860064812402945,0.747829410504201,-11.2235401898744,"15","094","Tepetlixpa"
683,0.685416621745592,0.503197612006148,-18.2219009739444,"15","074","San Felipe del Progreso"
688,0.644664550774065,0.379511739193856,-26.5152811580209,"15","104","Tlalnepantla de Baz"
692,0.742255787183295,0.377534775280053,-36.4721011903242,"15","025","Chalco"
694,0.754802434759933,0.492320684451206,-26.2481750308727,"15","100","Tezoyuca"
695,0.602981825011082,0.361626693177068,-24.1355131834013,"15","040","Ixtapan de la Sal"
698,0.714950722814926,0.49015776575608,-22.4792957058846,"15","109","Tultitlán"
699,0.554428012679098,0.292993928042865,-26.1434084636233,"15","012","Atizapán"
705,0.807319523344246,0.665496062790716,-14.182346055353,"15","024","Cuautitlán"
707,0.51642336990137,0.255765523056245,-26.0657846845125,"15","007","Amanalco"
708,0.72060275770488,0.568606068015245,-15.1996689689635,"15","120","Zumpango"
709,0.630704293105135,0.423987958428725,-20.6716334676409,"15","042","Ixtlahuaca"
710,0.416899449740446,0.266992983815091,-14.9906465925354,"15","084","Temascalapa"
713,0.562450606725281,0.302101895393661,-26.034871133162,"15","020","Coacalco de Berriozábal"
718,0.774444409803572,0.530845212864134,-24.3599196939437,"15","057","Naucalpan de Juárez"
719,0.625966997806673,0.389159550167272,-23.6807447639401,"15","105","Tlatlaya"
720,0.627612404604666,0.404768036604793,-22.2844367999873,"15","106","Toluca"
724,0.366400318869494,0.200896839611998,-16.5503479257496,"15","119","Zumpahuacán"
725,0.715320197759629,0.4069815830022,-30.8338614757429,"15","081","Tecámac"
726,0.580648131096438,0.349372806132567,-23.1275324963871,"15","035","Huehuetoca"
734,0.667381108640658,0.453056224387035,-21.4324884253623,"15","051","Lerma"
736,0.624123623525591,0.382262180935501,-24.186144259009,"15","037","Huixquilucan"
738,0.735745784312416,0.49215614362944,-24.3589640682976,"15","039","Ixtapaluca"
743,0.753240289460979,0.411541586174831,-34.1698703286149,"15","121","Cuautitlán Izcalli"
749,0.555679090933946,0.418023274962833,-13.7655815971113,"15","067","Otzolotepec"
750,0.805959511633419,0.440122241447083,-36.5837270186336,"15","088","Tenancingo"
751,0.753707967281916,0.401211958790957,-35.2496008490959,"15","070","La Paz"
759,0.730008146553163,0.398661776679722,-33.1346369873441,"15","099","Texcoco"
760,0.701201964193901,0.509062407066202,-19.2139557127699,"15","060","Nicolás Romero"
761,0.665709255252901,0.339340405711915,-32.6368849540986,"15","122","Valle de Chalco Solidaridad"
766,0.663148996450876,0.468904410717129,-19.4244585733746,"15","115","Xonacatlán"
770,0.817777975884398,0.515417989870582,-30.2359986013816,"15","058","Nezahualcóyotl"
771,0.606460124272716,0.424445237636199,-18.2014886636517,"15","092","Teotihuacán"
774,0.675189421255208,0.384660872227461,-29.0528549027747,"15","054","Metepec"
776,0.416677191397823,0.254099197292947,-16.2577994104876,"15","026","Chapa de Mota"
777,0.645814805912446,0.386003411791116,-25.981139412133,"15","001","Acambay de Ruíz Castañeda"
778,0.696010514843142,0.398938265610374,-29.7072249232767,"15","059","Nextlalpan"
788,0.644578763353918,0.487051653362465,-15.7527109991453,"15","033","Ecatepec de Morelos"
789,0.666463274335109,0.473332984493675,-19.3130289841434,"15","013","Atizapán de Zaragoza"
792,0.690551235694029,0.396956725266366,-29.3594510427663,"15","009","Amecameca"
793,0.648690327948101,0.325431070750869,-32.3259257197232,"15","031","Chimalhuacán"
795,0.723711497612796,0.395865874737792,-32.7845622875004,"15","095","Tepotzotlán"
802,0.697221758773152,0.427179041996654,-27.0042716776498,"16","006","Apatzingán"
809,0.603188774572715,0.422151903511942,-18.1036871060774,"16","107","Zacapu"
819,0.7347711076224,0.542013853279751,-19.2757254342648,"16","099","Tuzantla"
821,0.367284964385114,0.270176646529349,-9.71083178557654,"16","043","Jacona"
824,0.787134528727092,0.629052246186883,-15.8082282540209,"16","012","Buenavista"
828,0.487342397888065,0.289031734099879,-19.8310663788186,"16","019","Cotija"
837,0.73520010740284,0.592914764929239,-14.2285342473601,"16","075","Los Reyes"
839,0.737438834945304,0.440900230233211,-29.6538604712092,"16","033","Gabriel Zamora"
