"muni_id","clues_total","clues_publico"
"14018",28,24
"14019",9,9
"14020",6,5
"14021",7,6
"14022",12,10
"14023",33,16
"14024",11,9
"14025",16,15
"14026",2,2
"14027",13,13
"14028",3,3
"14029",9,9
"14030",19,10
"14031",5,5
"14032",3,3
"14033",8,7
"14034",2,2
"14035",16,12
"14036",5,4
"14037",9,8
"14038",5,5
"14039",436,115
"14040",4,4
"14041",5,5
"14042",8,7
"14043",16,15
"14044",14,11
"14045",9,8
"14046",11,7
"14047",6,5
"14048",8,8
"14049",5,5
"14050",13,11
"14051",5,5
"14052",3,2
"14053",39,27
"14054",4,4
"14055",7,6
"14056",3,3
"14057",2,2
"14058",7,7
"14059",5,4
"14060",2,2
"14061",23,23
"14062",2,2
"14063",24,11
"14064",14,12
"14065",9,8
"14066",15,12
"14067",64,21
"14068",9,8
"14069",6,6
"14070",32,12
"14071",2,2
"14072",2,2
"14073",18,12
"14074",4,3
"14075",1,1
"14076",4,4
"14077",11,10
"14078",7,7
"14079",5,5
"14080",3,3
"14081",4,4
"14082",8,5
"14083",18,12
"14084",7,7
"14085",18,18
"14086",8,8
"14087",7,6
"14088",7,7
"14089",3,3
"14090",5,5
"14091",15,10
"14092",6,6
"14093",38,21
"14094",12,7
"14095",5,5
"14096",8,5
"14097",78,26
"14098",99,29
"14099",5,5
"14100",15,14
"14101",63,23
"14102",2,2
"14103",4,4
"14104",3,3
"14105",5,4
"14106",3,3
"14107",3,3
"14108",7,5
"14109",9,9
"14110",6,5
"14111",2,1
"14112",5,3
"14113",10,9
"14114",11,9
"14115",4,4
"14116",7,3
"14117",2,2
"14118",11,7
"14119",10,9
"14120",298,73
"14121",9,7
"14122",4,4
"14123",6,6
"14124",21,13
"14125",4,3
"15001",31,28
"15002",29,15
"15003",25,23
"15004",7,7
"15005",41,30
"15006",2,1
"15007",16,15
"15008",18,18
"15009",16,10
"15010",9,6
"15011",12,10
"15012",4,2
"15013",113,33
"15014",51,36
"15015",6,5
"15016",9,9
"15017",2,2
"15018",10,6
"15019",12,7
"15020",41,13
"15021",16,14
"15022",4,3
"15023",6,3
"15024",45,21
"15025",69,32
"15026",11,11
"15027",2,1
"15028",8,8
"15029",25,11
"15030",6,3
"15031",59,22
"15032",14,14
"15033",188,79
"15034",3,3
"15035",25,12
"15036",10,9
"15037",60,28
"15038",3,2
"15039",62,34
"15040",18,12
"15041",5,5
"15042",57,46
"15043",8,7
"15044",4,4
"15045",35,29
"15046",4,4
"15047",21,21
"15048",25,22
"15049",5,5
"15050",4,3
"15051",36,21
"15052",11,10
"15053",10,7
"15054",89,31
"15055",3,2
"15056",13,12
"15057",228,75
"15058",151,41
"15059",9,4
"15060",58,24
"15061",3,3
"15062",15,10
"15063",13,12
"15064",22,20
"15065",13,8
"15066",3,3
"15067",17,14
"15068",7,5
"15069",1,1
"15070",35,11
"15071",10,10
"15072",4,3
"15073",5,4
"15074",53,44
"15075",8,6
"15076",28,9
"15077",6,6
"15078",5,5
"15079",7,6
"15080",16,16
"15081",66,24
"15082",36,30
"15083",6,5
"15084",10,9
"15085",24,20
"15086",22,18
"15087",32,26
"15088",24,16
"15089",4,3
"15090",21,16
"15091",11,6
"15092",18,12
"15093",8,6
"15094",8,5
"15095",17,10
"15096",9,6
"15097",10,10
"15098",3,2
"15099",71,33
"15100",5,4
"15101",25,15
"15102",9,8
"15103",9,7
"15104",169,47
"15105",24,24
"15106",289,132
"15107",5,4
"15108",21,9
"15109",67,26
"15110",26,19
"15111",18,16
"15112",12,11
"15113",16,13
"15114",32,28
"15115",13,6
"15116",2,2
"15117",9,9
"15118",39,21
"15119",8,8
"15120",41,20
"15121",80,24
"15122",42,14
"15123",18,18
"15124",46,43
"15125",2,1
"16001",5,2
"16002",9,9
"16003",12,10
"16004",8,6
"16005",3,3
"16006",38,13
"16007",1,1
"16008",20,20
"16009",14,9
"16010",12,11
"16011",5,5
"16012",10,9
"16013",5,5
"16014",8,8
"16015",10,8
"16016",15,11
"16017",16,15
"16018",4,3
"16019",8,6
"16020",10,7
"16021",4,4
"16022",11,9
"16023",3,3
"16024",6,5
"16025",14,13
"16026",7,7
"16027",5,4
"16028",5,4
"16029",6,6
"16030",5,5
"16031",10,9
"16032",4,3
"16033",9,9
"16034",36,21
"16035",17,16
"16036",8,6
"16037",7,6
"16038",30,21
"16039",5,4
"16040",7,4
"16041",6,5
"16042",5,5
"16043",9,4
"16044",8,5
"16045",13,8
"16046",5,4
"16047",8,7
"16048",2,1
"16049",13,10
"16050",40,20
"16051",5,4
"16052",70,27
"16053",266,90
"16054",9,8
"16055",14,8
"16056",10,8
"16057",7,7
"16058",3,2
"16059",8,8
"16060",5,4
"16061",6,6
"16062",7,6
"16063",11,10
"16064",7,7
"16065",13,9
"16066",37,19
"16067",12,11
"16068",10,7
"16069",32,11
"16070",9,5
"16071",35,21
"16072",7,4
"16073",13,6
"16074",2,2
"16075",26,15
"16076",16,6
"16077",10,10
"16078",6,5
"16079",15,11
"16080",10,10
"16081",6,6
"16082",25,16
"16083",11,10
"16084",10,7
"16085",12,9
"16086",7,6
"16087",5,4
"16088",22,12
"16089",10,8
"16090",4,3
"16091",5,4
"16092",10,9
"16093",11,9
"16094",7,6
"16095",3,3
"16096",5,5
"16097",13,13
"16098",11,7
"16099",12,10
"16100",6,5
"16101",8,8
"16102",68,22
"16103",10,8
"16104",9,9
"16105",10,8
"16106",11,6
"16107",36,15
"16108",47,15
"16109",2,2
"16110",21,15
"16111",5,5
"16112",50,30
"16113",9,8
"17001",8,8
"17002",6,5
"17003",16,10
"17004",22,17
"17005",7,7
"17006",75,20
"17007",175,53
"17008",26,14
"17009",8,6
"17010",6,5
"17011",53,21
"17012",36,18
"17013",8,7
"17014",3,2
"17015",7,5
"17016",6,6
"17017",19,10
"17018",35,20
"17019",12,10
"17020",14,10
"17021",7,6
"17022",5,3
"17023",4,4
"17024",17,12
"17025",16,15
"17026",10,8
"17027",4,3
"17028",24,11
"17029",33,16
"17030",15,11
"17031",16,7
"17032",4,4
"17033",5,4
"17034",1,1
"17035",4,2
"17036",1,1
"18001",34,25
"18002",12,11
"18003",13,13
"18004",45,33
"18005",14,14
"18006",19,12
"18007",13,12
"18008",21,15
"18009",55,55
"18010",26,25
"18011",15,12
"18012",25,25
"18013",7,7
"18014",16,15
"18015",50,43
"18016",27,21
"18017",151,72
"18018",18,12
"18019",21,21
"18020",56,30
"19001",1,1
"19002",5,5
"19004",14,9
"19005",9,9
"19006",106,29
"19007",17,16
"19008",1,1
"19009",41,22
"19010",14,8
"19011",6,6
"19012",7,4
"19013",9,5
"19014",47,47
"19015",1,1
"19016",2,2
"19017",38,37
"19018",34,7
"19019",66,9
"19020",4,3
"19021",76,20
"19022",12,11
"19023",1,1
"19024",8,8
"19025",12,5
"19026",180,69
"19027",1,1
"19028",1,1
"19029",5,4
"19030",6,6
"19031",47,13
"19032",6,6
"19033",43,30
"19034",1,1
"19035",1,1
"19036",8,8
"19037",2,2
"19038",32,20
"19039",390,121
"19040",2,2
"19041",17,6
"19042",5,5
"19043",4,4
"19044",23,18
"19045",16,10
"19046",109,20
"19047",5,4
"19048",53,16
"19049",21,15
"19050",4,4
"19051",4,4
"20001",1,1
"20002",20,18
"20003",3,3
"20004",1,1
"20005",10,7
"20006",12,8
"20007",1,1
"20008",1,1
"20009",5,5
"20010",6,5
"20011",1,1
"20012",4,4
"20013",1,1
"20014",15,7
"20015",2,2
"20016",7,7
"20017",2,2
"20018",1,1
"20019",2,2
"20020",4,4
"20021",7,6
"20022",1,1
"20023",5,4
"20024",3,3
"20025",4,2
"20026",4,4
"20027",1,1
"20028",3,2
"20029",3,3
"20030",6,2
"20031",11,11
"20032",1,1
"20033",1,1
"20034",1,1
"20035",2,2
"20036",6,6
"20037",5,5
"20038",1,1
"20039",37,19
"20040",2,2
"20041",11,9
"20042",8,8
"20043",40,24
"20044",12,8
"20045",2,2
"20046",2,2
"20048",1,1
"20049",1,1
"20050",1,1
"20051",1,1
"20052",3,3
"20053",1,1
"20054",1,1
"20055",1,1
"20056",1,1
"20057",20,9
"20058",10,10
"20059",14,9
"20060",2,2
"20061",2,2
"20062",1,1
"20063",1,1
"20064",7,7
"20065",1,1
"20066",5,3
"20067",199,73
"20068",10,4
"20069",1,1
"20070",2,2
"20071",2,2
"20072",3,3
"20073",25,20
"20074",1,1
"20075",1,1
"20076",2,2
"20077",2,2
"20078",1,1
"20079",28,13
"20080",1,1
"20081",2,2
"20082",2,2
"20083",4,1
"20084",1,1
"20085",15,15
"20086",1,1
"20087",2,1
"20088",1,1
"20089",1,1
"20090",4,3
"20091",2,1
"20092",1,1
"20093",1,1
"20094",3,3
"20095",1,1
"20096",1,1
"20097",1,1
"20098",2,2
"20099",1,1
"20100",1,1
"20101",1,1
"20102",1,1
"20103",1,1
"20104",2,2
"20105",4,4
"20107",4,1
"20108",3,3
"20109",1,1
"20110",1,1
"20111",2,2
"20112",1,1
"20113",2,2
"20114",1,1
"20115",15,13
"20116",1,1
"20117",1,1
"20118",1,1
"20119",1,1
"20120",1,1
"20122",1,1
"20123",1,1
"20124",6,4
"20125",12,12
"20126",1,1
"20127",1,1
"20128",1,1
"20129",1,1
"20130",2,2
"20131",5,5
"20132",1,1
"20133",3,3
"20134",7,7
"20135",3,3
"20136",7,7
"20137",3,3
"20138",1,1
"20139",3,3
"20140",1,1
"20141",3,3
"20142",2,2
"20143",6,5
"20144",1,1
"20145",1,1
"20146",1,1
"20148",2,2
"20149",1,1
"20150",7,4
"20151",2,2
"20152",1,1
"20153",1,1
"20154",2,2
"20156",2,2
"20157",5,1
"20158",2,2
"20159",6,6
"20160",1,1
"20161",3,3
"20162",1,1
"20163",2,2
"20164",3,3
"20165",1,1
"20166",4,4
"20167",1,1
"20168",1,1
"20169",1,1
"20170",2,2
"20171",13,13
"20172",1,1
"20173",1,1
"20174",2,1
"20175",1,1
"20176",4,4
"20177",10,9
"20178",2,2
"20179",1,1
"20180",2,2
"20181",1,1
"20182",1,1
"20183",1,1
"20184",53,27
"20185",2,2
"20186",1,1
"20187",1,1
"20188",4,4
"20189",2,2
"20190",16,14
"20191",1,1
"20192",1,1
"20193",1,1
"20194",1,1
"20195",1,1
"20196",1,1
"20197",1,1
"20198",17,17
"20199",1,1
"20200",2,2
"20201",1,1
"20202",3,3
"20203",1,1
"20204",1,1
"20205",10,10
"20206",2,2
"20207",10,10
"20208",7,7
"20209",1,1
"20210",8,8
"20211",4,4
"20212",2,2
"20213",2,2
"20214",1,1
"20216",1,1
"20217",4,4
"20218",1,1
"20219",1,1
"20220",3,3
"20221",1,1
"20222",2,2
"20223",1,1
"20224",1,1
"20225",3,3
"20226",2,2
"20227",7,3
"20228",1,1
"20229",4,4
"20230",1,1
"20231",1,1
"20232",8,8
"20233",1,1
"20234",7,7
"20235",2,2
"20236",1,1
"20237",1,1
"20238",1,1
"20239",1,1
"20240",2,2
"20241",1,1
"20242",7,7
"20243",1,1
"20244",3,3
"20245",2,2
"20246",1,1
"20247",1,1
"20248",5,5
"20249",2,2
"20250",1,1
"20251",1,1
"20252",2,2
"20253",2,2
"20254",1,1
"20255",1,1
"20256",1,1
"20257",1,1
"20258",1,1
"20259",1,1
"20260",2,2
"20261",4,4
"20262",2,2
"20263",3,3
"20264",3,3
"20265",8,8
"20266",4,4
"20268",1,1
"20269",3,3
"20270",2,2
"20271",2,2
"20272",1,1
"20273",4,4
"20274",1,1
"20275",4,4
"20276",1,1
"20277",10,10
"20278",17,16
"20279",2,2
"20280",2,2
"20282",1,1
"20283",1,1
"20284",1,1
"20285",1,1
"20286",1,1
"20287",1,1
"20288",1,1
"20289",1,1
"20290",1,1
"20291",3,3
"20292",2,2
"20293",4,1
"20294",2,2
"20295",5,4
"20296",2,2
"20297",1,1
"20298",3,3
"20299",1,1
"20300",2,2
"20301",1,1
"20302",1,1
"20303",1,1
"20304",1,1
"20305",2,2
"20306",1,1
"20307",9,9
"20308",1,1
"20309",7,7
"20310",1,1
"20311",1,1
"20312",3,3
"20313",1,1
"20314",1,1
"20315",1,1
"20316",1,1
"20317",1,1
"20318",25,14
"20319",1,1
"20320",1,1
"20321",1,1
"20322",1,1
"20323",2,2
"20324",24,17
"20325",6,6
"20326",4,4
"20327",7,6
"20328",1,1
"20329",1,1
"20330",5,5
"20331",1,1
"20332",1,1
"20333",2,2
"20334",21,20
"20335",2,2
"20336",3,3
"20337",5,5
"20338",7,3
"20339",2,2
"20340",3,3
"20342",3,1
"20343",1,1
"20344",3,3
"20345",2,2
"20346",1,1
"20347",2,2
"20348",5,5
"20349",1,1
"20350",8,3
"20351",2,2
"20352",3,3
"20353",1,1
"20354",1,1
"20355",1,1
"20356",1,1
"20357",1,1
"20358",1,1
"20359",1,1
"20360",1,1
"20361",1,1
"20362",1,1
"20363",4,4
"20364",9,8
"20365",3,3
"20366",2,2
"20367",1,1
"20368",1,1
"20369",1,1
"20370",1,1
"20371",2,2
"20372",1,1
"20373",1,1
"20374",1,1
"20375",2,1
"20376",1,1
"20377",9,9
"20378",3,3
"20379",1,1
"20380",1,1
"20381",2,2
"20382",1,1
"20383",1,1
"20384",1,1
"20385",26,12
"20386",15,15
"20387",1,1
"20388",1,1
"20389",1,1
"20390",17,3
"20391",2,2
"20392",7,7
"20393",1,1
"20394",3,3
"20395",2,2
"20396",1,1
"20397",14,8
"20398",1,1
"20399",5,2
"20400",1,1
"20401",9,6
"20402",1,1
"20403",2,1
"20404",1,1
"20405",1,1
"20406",14,14
"20407",9,9
"20409",3,2
"20410",7,7
"20411",1,1
"20412",1,1
"20413",23,12
"20414",3,3
"20415",2,2
"20416",1,1
"20417",5,5
"20418",3,2
"20419",1,1
"20420",1,1
"20421",1,1
"20422",2,2
"20423",2,2
"20424",3,3
"20425",1,1
"20426",5,5
"20427",2,2
"20428",1,1
"20429",1,1
"20431",1,1
"20432",1,1
"20433",2,2
"20434",3,3
"20435",1,1
"20436",1,1
"20437",5,5
"20438",1,1
"20439",13,12
"20440",1,1
"20441",4,2
"20442",1,1
"20443",1,1
"20444",1,1
