"muni_id","clues_total","clues_publico","pob_adulta","clues_por_10k","clues_publico_por_10k"
"15034",3,3,6500,4.61538461538461,4.61538461538461
"15030",6,3,18157,3.30451065704687,1.65225532852343
"15068",7,5,19807,3.53410410460948,2.52436007472106
"15082",36,30,46123,7.80521648635171,6.50434707195976
"15028",8,8,19942,4.01163373783973,4.01163373783973
"15019",12,7,23891,5.02281193754971,2.92997363023733
"15118",39,21,130379,2.99127927043466,1.61068883792635
"15094",8,5,13300,6.01503759398496,3.7593984962406
"15074",53,44,82064,6.45837395203743,5.3616689413141
"15036",10,9,29876,3.3471682956219,3.01245146605971
"15041",5,5,3754,13.319126265317,13.319126265317
"15085",24,20,41044,5.84738329597505,4.87281941331254
"15096",9,6,25996,3.46207108785967,2.30804739190645
"15104",169,47,495816,3.40852251641738,0.947932297465189
"15076",28,9,62556,4.475989513396,1.43871091502014
"15010",9,6,20923,4.30148640252354,2.86765760168236
"15023",6,3,25957,2.31151519821243,1.15575759910621
"15025",69,32,256735,2.68759615946404,1.24642140728767
"15103",9,7,33844,2.65926013473585,2.06831343812788
"15100",5,4,30471,1.64090446654196,1.31272357323357
"15040",18,12,22912,7.85614525139665,5.23743016759777
"15107",5,4,8554,5.84521861117606,4.67617488894085
"15052",11,10,17579,6.25746629501109,5.68860572273736
"15109",67,26,359127,1.865635276657,0.723977868553464
"15012",4,2,8023,4.98566620964726,2.49283310482363
"15014",51,36,67532,7.55197535982941,5.33080613635017
"15003",25,23,30434,8.21449694420714,7.55733718867057
"15015",6,5,20312,2.95391886569516,2.46159905474596
"15016",9,9,18731,4.80486893385297,4.80486893385297
"15005",41,30,108839,3.76703203814809,2.75636490596202
"15024",45,21,124284,3.62073959640823,1.68967847832384
"15008",18,18,15806,11.3880804757687,11.3880804757687
"15007",16,15,14142,11.31381699901,10.6067034365719
"15120",41,20,176931,2.31728753016713,1.13038416105714
"15042",57,46,100349,5.68017618511395,4.58400183360073
"15084",10,9,27719,3.60763375302139,3.24687037771925
"15047",21,21,45841,4.58105189677363,4.58105189677363
"15022",4,3,10049,3.98049557169868,2.98537167877401
"15020",41,13,213067,1.92427733999165,0.610136717558327
"15062",15,10,47899,3.13158938599971,2.08772625733314
"15050",4,3,17164,2.33045910044279,1.74784432533209
"15061",3,3,6734,4.45500445500446,4.45500445500446
"15101",25,15,53181,4.7009270228089,2.82055621368534
"15057",228,75,593843,3.83939862893054,1.2629600753061
"15105",24,24,19529,12.2894157406933,12.2894157406933
"15106",289,132,613714,4.70903384964332,2.15083899014851
"15116",2,2,2972,6.72947510094213,6.72947510094213
"15097",10,10,10622,9.41442289587648,9.41442289587648
"15079",7,6,9203,7.60621536455504,6.5196131696186
"15119",8,8,10757,7.43701775587989,7.43701775587989
"15081",66,24,366718,1.79974803527506,0.654453831009113
"15035",25,12,101435,2.46463252329078,1.18302361117957
"15064",22,20,22733,9.67756125456385,8.79778295869441
"15083",6,5,8916,6.72947510094213,5.60789591745177
"15102",9,8,10691,8.41829576279113,7.48292956692545
"15087",32,26,63156,5.0668186712268,4.11679017037178
"15066",3,3,2863,10.4785190359762,10.4785190359762
"15108",21,9,105766,1.98551519391865,0.850935083107993
"15089",4,3,7447,5.37129045253122,4.02846783939842
"15051",36,21,110873,3.24695823149008,1.89405896836922
"15046",4,4,12879,3.10583119807438,3.10583119807438
"15037",60,28,198481,3.02295937646425,1.41071437568331
