"muni_idx","prev_ESH","prev_AHA","diferencia_pp","cve_ent","cve_mun","nomgeo"
76,0.775473722264666,0.549207133313517,-22.626658895115,"06","002","Colima"
77,0.685190250856703,0.421313427733178,-26.3876823123525,"06","005","Cuauhtémoc"
78,0.745714119914345,0.598012421805244,-14.7701698109102,"06","008","Minatitlán"
79,0.683418932924839,0.429463446082857,-25.3955486841981,"06","001","Armería"
80,0.749688034065605,0.477749257688936,-27.1938776376669,"06","004","Coquimatlán"
81,0.748405001808136,0.566453249385523,-18.1951752422613,"06","010","Villa de Álvarez"
82,0.585514015872825,0.365344764299838,-22.0169251572987,"06","003","Comala"
83,0.73655553682571,0.53092068683157,-20.563484999414,"06","007","Manzanillo"
84,0.722252678539708,0.482340776977247,-23.991190156246,"06","009","Tecomán"
85,0.506155972807201,0.304037881637018,-20.2118091170183,"07","019","Comitán de Domínguez"
87,0.474812756929887,0.290380437733311,-18.4432319196576,"07","020","La Concordia"
91,0.49462232866751,0.308882958956019,-18.5739369711492,"07","108","Villaflores"
92,0.536779087760709,0.274661077169843,-26.2118010590866,"07","107","Villa Corzo"
95,0.725663871550194,0.432675445409827,-29.2988426140368,"07","103","Tuzantán"
97,0.620865796114866,0.293146589327564,-32.7719206787302,"07","101","Tuxtla Gutiérrez"
101,0.494642688353184,0.283443895261604,-21.119879309158,"07","057","Motozintla"
105,0.434793835026756,0.26678417492382,-16.8009660102936,"07","076","Sabanilla"
127,0.512606890250701,0.268420133676125,-24.4186756574576,"07","052","Las Margaritas"
131,0.66862587533902,0.40842697130716,-26.019890403186,"07","089","Tapachula"
133,0.69352869322253,0.492865572868158,-20.0663120354372,"07","027","Chiapa de Corzo"
135,0.498007213824448,0.286852206849731,-21.1155006974717,"07","046","Jiquipilas"
148,0.578219181129159,0.402719426585179,-17.549975454398,"07","031","Chilón"
156,0.549722295725844,0.349308773784505,-20.0413521941339,"07","040","Huixtla"
158,0.495403527518319,0.320257730605995,-17.5145796912324,"07","039","Huitiupán"
159,0.506568436467068,0.274185796527604,-23.2382639939464,"07","099","La Trinitaria"
179,0.612579834922783,0.349179111721057,-26.3400723201726,"07","013","Bochil"
182,0.646214263353223,0.357962011722473,-28.825225163075,"07","094","Teopisca"
188,0.683175573241115,0.51915881527164,-16.4016757969475,"07","078","San Cristóbal de las Casas"
199,0.580354566511129,0.388867611272015,-19.1486955239115,"07","061","Ocozocoautla de Espinosa"
201,0.665251851185016,0.388121766025262,-27.7130085159754,"07","087","Suchiate"
221,0.603704577438304,0.361317563326321,-24.2387014111984,"08","050","Nuevo Casas Grandes"
222,0.636124822283013,0.429225920905997,-20.6898901377016,"08","031","Guerrero"
224,0.69263030635759,0.543566779717225,-14.9063526640365,"08","025","Gómez Farías"
225,0.623720062987329,0.413229104321888,-21.0490958665441,"08","023","Galeana"
229,0.528063194616479,0.366354290810602,-16.1708903805877,"08","021","Delicias"
231,0.731790297944282,0.480423019147385,-25.1367278796898,"08","017","Cuauhtémoc"
234,0.586437405411732,0.366886778219738,-21.9550627191994,"08","052","Ojinaga"
235,0.619402868861199,0.395138734857888,-22.4264134003311,"08","013","Casas Grandes"
237,0.606281612038256,0.407748713995158,-19.8532898043098,"08","011","Camargo"
241,0.75797971529279,0.562500190433146,-19.5479524859643,"08","006","Bachíniva"
244,0.605003568473175,0.383400553912012,-22.1603014561163,"08","032","Hidalgo del Parral"
259,0.685486054382171,0.516413338766251,-16.907271561592,"08","019","Chihuahua"
260,0.516924838275714,0.290743369802869,-22.6181468472846,"08","064","El Tule"
262,0.632819075854579,0.300007745533773,-33.2811330320806,"08","037","Juárez"
273,0.694935139420851,0.551071567776494,-14.3863571644357,"08","036","Jiménez"
275,0.53523428531662,0.361167468892458,-17.4066816424162,"08","002","Aldama"
276,0.683791721074576,0.556044469489077,-12.7747251585499,"09","012","Tlalpan"
277,0.755604834192218,0.46144480291083,-29.4160031281387,"09","009","Milpa Alta"
278,0.728706100776723,0.565152262622911,-16.3553838153812,"09","015","Cuauhtémoc"
279,0.678422590812235,0.498827292010371,-17.9595298801864,"09","007","Iztapalapa"
280,0.704863448704004,0.569439413523056,-13.5424035180948,"09","008","La Magdalena Contreras"
281,0.608836689241462,0.372929358591527,-23.5907330649935,"09","010","Álvaro Obregón"
282,0.799521139311485,0.692155780505709,-10.7365358805776,"09","003","Coyoacán"
283,0.676013223594005,0.403408777107811,-27.2604446486194,"09","016","Miguel Hidalgo"
284,0.706260205786002,0.519332558491406,-18.6927647294596,"09","004","Cuajimalpa de Morelos"
285,0.715106920837833,0.530826337620119,-18.4280583217714,"09","006","Iztacalco"
286,0.759771771799862,0.524189637758017,-23.5582134041845,"09","011","Tláhuac"
287,0.65620240189305,0.44225880054524,-21.394360134781,"09","013","Xochimilco"
288,0.725638350897923,0.613313042437919,-11.2325308460004,"09","005","Gustavo A. Madero"
289,0.734470147140678,0.505961236748304,-22.8508910392375,"09","002","Azcapotzalco"
290,0.600698415263171,0.375306562604905,-22.5391852658266,"09","017","Venustiano Carranza"
291,0.656611444500653,0.348614491346929,-30.7996953153725,"09","014","Benito Juárez"
292,0.5849307170249,0.368226134995232,-21.6704582029668,"10","006","General Simón Bolívar"
293,0.610670363677184,0.360709837208859,-24.9960526468325,"10","008","Guadalupe Victoria"
299,0.660911032062539,0.382658070283231,-27.8252961779308,"10","038","Vicente Guerrero"
303,0.582332977670209,0.407836796371468,-17.4496181298741,"10","032","Santiago Papasquiaro"
305,0.624310095170483,0.36574484040453,-25.8565254765953,"10","007","Gómez Palacio"
308,0.666188643646462,0.437881708283828,-22.8306935362635,"10","022","Poanas"
309,0.532279502547293,0.348286905215925,-18.3992597331368,"10","028","San Juan del Río"
312,0.758072646151488,0.547674088564672,-21.0398557586816,"10","005","Durango"
314,0.615636406150228,0.365947101634425,-24.9689304515803,"10","033","Súchil"
316,0.654380020650906,0.398013549350169,-25.6366471300737,"10","012","Lerdo"
321,0.754438531034214,0.560646602518834,-19.379192851538,"10","013","Mapimí"
322,0.687435046970939,0.51806480695345,-16.9370240017489,"10","016","Nombre de Dios"
326,0.730499838252773,0.457616214852372,-27.2883623400402,"10","039","Nuevo Ideal"
327,0.633335157877566,0.40959812404133,-22.3737033836236,"10","021","Peñón Blanco"
331,0.595192391043952,0.320216126588862,-27.497626445509,"11","019","Jerécuaro"
332,0.665805023444257,0.463683948167942,-20.2121075276315,"11","020","León"
334,0.511816028275487,0.302218054033591,-20.9597974241896,"11","023","Pénjamo"
336,0.56406990905511,0.32761842380869,-23.645148524642,"11","039","Tarimoro"
338,0.625295740291587,0.344368515921808,-28.0927224369778,"11","041","Uriangato"
339,0.583401432838275,0.353884285356424,-22.9517147481851,"11","002","Acámbaro"
340,0.592714346862693,0.354021684754659,-23.8692662108034,"11","012","Cuerámaro"
341,0.648148582439622,0.404268058814527,-24.3880523625095,"11","013","Doctor Mora"
342,0.691139721034266,0.534518074379494,-15.6621646654772,"11","014","Dolores Hidalgo Cuna de la Independencia Nacional"
343,0.681724727206974,0.442749333529254,-23.897539367772,"11","022","Ocampo"
345,0.6585376120699,0.39477163474139,-26.3765977328511,"11","030","San Felipe"
347,0.693802059032945,0.563021177782666,-13.078088125028,"11","007","Celaya"
348,0.5653079096343,0.374341531708333,-19.0966377925967,"11","027","Salamanca"
349,0.556485767043416,0.32600759184091,-23.0478175202506,"11","035","Santa Cruz de Juventino Rosas"
350,0.679961666570362,0.501724068397389,-17.8237598172973,"11","011","Cortazar"
351,0.680900478106912,0.480044944300843,-20.085553380607,"11","031","San Francisco del Rincón"
352,0.630125922000926,0.418899888846928,-21.1226033153999,"11","025","Purísima del Rincón"
353,0.682585342663089,0.452862926481186,-22.9722416181903,"11","026","Romita"
354,0.644094669928457,0.317378157465447,-32.671651246301,"11","028","Salvatierra"
355,0.633377312635977,0.311139664928538,-32.2237647707438,"11","029","San Diego de la Unión"
356,0.579335132737796,0.31082742274376,-26.8507709994037,"11","032","San José Iturbide"
357,0.606201980837037,0.413003286304521,-19.3198694532516,"11","033","San Luis de la Paz"
