"muni_idx","prev_principal_ponderado","prev_sensibilidad_sin_ponderar","n","dif_sin_menos_principal_pp","quintil_principal","quintil_sin_ponderar","cambia_quintil","estrato_n"
292,0.75589179777238,0.679370551205565,13,-7.65212465668147,5,4,TRUE,"n=10-29"
293,0.621477284243523,0.635792230966132,17,1.4314946722609,2,3,TRUE,"n=10-29"
299,0.665085770153515,0.685815927993275,7,2.07301578397597,3,4,TRUE,"n<=9"
303,0.653431233174494,0.733062037087095,4,7.96308039126009,3,5,TRUE,"n<=9"
305,0.637521816453599,0.633665329226411,46,-0.385648722718768,3,3,FALSE,"n>=30"
308,0.741702666699275,0.741623471356085,3,-0.00791953431905634,5,5,FALSE,"n<=9"
309,0.738686544779933,0.669962759481357,9,-6.87237852985763,5,4,TRUE,"n<=9"
312,0.722353433167297,0.689215445202046,75,-3.31379879652509,4,4,FALSE,"n>=30"
314,0.651682953515703,0.656437774070814,12,0.475482055511078,3,3,FALSE,"n=10-29"
316,0.697786190400465,0.702800815563449,29,0.501462516298345,4,4,FALSE,"n=10-29"
321,0.604238204549163,0.561944388207391,7,-4.22938163417725,2,1,TRUE,"n<=9"
322,0.805998219953305,0.764656764351852,10,-4.13414556014522,5,5,FALSE,"n=10-29"
326,0.581562913651677,0.622399224655602,4,4.0836311003925,2,2,FALSE,"n<=9"
327,0.675448542453232,0.713538594883651,3,3.80900524304191,3,5,TRUE,"n<=9"
331,0.487529751949242,0.565218399789863,11,7.76886478406216,1,1,FALSE,"n=10-29"
332,0.75394546327734,0.69448666936178,179,-5.94587939155604,5,4,TRUE,"n>=30"
334,0.700492111539414,0.65785214508205,26,-4.26399664573641,4,3,TRUE,"n=10-29"
336,0.709890493998007,0.687145312030127,11,-2.27451819678801,4,4,FALSE,"n=10-29"
338,0.593835438392493,0.58208921942745,17,-1.17462189650424,2,2,FALSE,"n=10-29"
339,0.699504905300349,0.670179945333484,12,-2.93249599668647,4,4,FALSE,"n=10-29"
340,0.456242420120797,0.57090426918105,7,11.4661849060253,1,1,FALSE,"n<=9"
341,0.569305945991778,0.62517899508857,11,5.58730490967925,2,2,FALSE,"n=10-29"
342,0.80209198912307,0.727567081511367,21,-7.45249076117026,5,5,FALSE,"n=10-29"
343,0.593668591054041,0.628856749223466,11,3.51881581694253,2,3,TRUE,"n=10-29"
345,0.601066188067506,0.584648385550534,20,-1.6417802516972,2,2,FALSE,"n=10-29"
347,0.599608436447995,0.635517947201593,55,3.59095107535977,2,3,TRUE,"n>=30"
348,0.473874386070725,0.576324142889526,25,10.24497568188,1,2,TRUE,"n=10-29"
349,0.673290119218603,0.664507928630058,2,-0.878219058854435,3,3,FALSE,"n<=9"
350,0.781274619380023,0.786897491085431,2,0.562287170540832,5,5,FALSE,"n<=9"
351,0.703758837551779,0.645445447126139,9,-5.83133904256397,4,3,TRUE,"n<=9"
352,0.621352123355853,0.631221542359385,12,0.986941900353178,2,3,TRUE,"n=10-29"
