"muni_idx","diferencia_pp","dif_q025","dif_q975","prev_ESH","fuente_ESH","priv_ESH","prev_AHA","fuente_AHA","priv_AHA","ambos_directos","suprimir_privacidad","cve_ent","cve_mun","nomgeo"
2022,-26.6894094831743,-41.4793810621024,-10.3982921997551,0.650645724703657,"sintetico_postestratificado",FALSE,0.383751629871915,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","028","Nuevo Morelos"
2023,-27.2970611590998,-41.2695663152196,-12.555474485121,0.65081620305154,"muestra_directa",TRUE,0.377845591460542,"muestra_directa",TRUE,TRUE,TRUE,"28","021","El Mante"
2024,-25.8307564248407,-41.6652180966685,-8.92647846913007,0.695531291490069,"sintetico_postestratificado",FALSE,0.437223727241662,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","011","Gómez Farías"
2025,-27.632111425835,-41.9327754257712,-12.9283248108569,0.645102807038188,"sintetico_postestratificado",FALSE,0.368781692779838,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","012","González"
2026,-27.7039459445023,-44.553512699885,-8.69522901890893,0.631867315352504,"muestra_directa",TRUE,0.354827855907481,"muestra_directa",TRUE,TRUE,TRUE,"28","027","Nuevo Laredo"
2027,-28.469708475508,-43.3327716566515,-12.6637842997765,0.630648717461197,"sintetico_postestratificado",FALSE,0.345951632706117,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","013","Güémez"
2028,-27.6686690701892,-41.6118428905075,-12.0407704489401,0.65838745375284,"sintetico_postestratificado",FALSE,0.381700763050948,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","004","Antiguo Morelos"
2029,-27.2872179431272,-42.2087195274487,-12.0751019500652,0.685232467552986,"sintetico_postestratificado",FALSE,0.412360288121714,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","006","Bustamante"
2030,-28.4138844926629,-42.8300025745496,-12.5187560907466,0.675191790030928,"muestra_directa",TRUE,0.391052945104299,"muestra_directa",TRUE,TRUE,TRUE,"28","016","Hidalgo"
2031,-27.0643739944148,-41.7651714813304,-10.5905310346605,0.674035383628937,"sintetico_postestratificado",FALSE,0.403391643684789,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","019","Llera"
2032,-29.8174179703227,-44.2320808852689,-15.9663084279678,0.621261787790246,"muestra_directa",TRUE,0.323087608087019,"muestra_directa",TRUE,TRUE,TRUE,"28","017","Jaumave"
2033,-26.9394144318655,-43.2274817903813,-9.54771225092666,0.630992903438297,"sintetico_postestratificado",FALSE,0.361598759119643,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","020","Mainero"
2034,-28.2916201629003,-42.5526298129154,-12.4623081789078,0.574631756931579,"sintetico_postestratificado",FALSE,0.291715555302577,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","008","Casas"
2035,-28.260066783641,-44.2423033130111,-11.1769167782948,0.660302548009482,"sintetico_postestratificado",FALSE,0.377701880173072,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","043","Xicoténcatl"
2036,-26.9362800920224,-42.809629040336,-9.8350083299393,0.64619212481206,"sintetico_postestratificado",FALSE,0.376829323891836,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","042","Villagrán"
2037,-28.3296352575486,-43.3988538935613,-10.5804412694407,0.619097896173208,"sintetico_postestratificado",FALSE,0.335801543597722,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","014","Guerrero"
2038,-29.968388867461,-45.4880053668116,-14.3847498394504,0.646580660264211,"muestra_directa",TRUE,0.346896771589601,"muestra_directa",TRUE,TRUE,TRUE,"28","009","Ciudad Madero"
2039,-27.9949968750813,-42.4821113032678,-12.6571826858534,0.65490619073671,"sintetico_postestratificado",FALSE,0.374956221985897,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","026","Miquihuana"
2040,-27.0196659026814,-41.9740772111004,-11.4507729166269,0.659090802700186,"sintetico_postestratificado",FALSE,0.388894143673372,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","001","Abasolo"
2041,-27.5591850846023,-42.3141210000625,-10.5319225112228,0.650359905278476,"sintetico_postestratificado",FALSE,0.374768054432454,"sintetico_postestratificado",FALSE,FALSE,FALSE,"28","002","Aldama"
2042,-25.6434108709425,-39.5708298060673,-9.69525827869709,0.680487964453455,"muestra_directa",TRUE,0.424053855744029,"muestra_directa",TRUE,TRUE,TRUE,"28","018","Jiménez"
2043,-22.9049709168637,-38.2889332070241,-6.59735348056392,0.667551201997811,"muestra_directa",TRUE,0.438501492829174,"muestra_directa",TRUE,TRUE,TRUE,"29","019","Tepetitla de Lardizábal"
2044,-25.2650127187759,-41.0970442358822,-8.75684184870859,0.679500704265146,"sintetico_postestratificado",FALSE,0.426850577077387,"sintetico_postestratificado",FALSE,FALSE,FALSE,"29","045","Benito Juárez"
2045,-24.4736955696106,-37.8806985507864,-7.69926481854113,0.624236281631723,"sintetico_postestratificado",FALSE,0.379499325935617,"sintetico_postestratificado",FALSE,FALSE,FALSE,"29","047","Lázaro Cárdenas"
2046,-25.8385271820314,-38.9093993954861,-13.3181748399614,0.619874595134196,"muestra_directa",TRUE,0.361489323313882,"muestra_directa",TRUE,TRUE,TRUE,"29","033","Tlaxcala"
2047,-23.4953361601968,-38.5649934775407,-7.38310418102821,0.690502297689121,"sintetico_postestratificado",FALSE,0.455548936087153,"sintetico_postestratificado",FALSE,FALSE,FALSE,"29","059","Santa Cruz Quilehtla"
2048,-24.9095144192903,-39.1376242126737,-9.86505724214024,0.669782100724437,"muestra_directa",TRUE,0.420686956531534,"muestra_directa",TRUE,TRUE,TRUE,"29","004","Atltzayanca"
2049,-24.88703620432,-41.2431826163115,-7.57384274159577,0.628785837955375,"sintetico_postestratificado",FALSE,0.379915475912175,"sintetico_postestratificado",FALSE,FALSE,FALSE,"29","054","San Lorenzo Axocomanitla"
2050,-25.0935857657881,-40.4051181331071,-8.9614723349055,0.610177098891129,"sintetico_postestratificado",FALSE,0.359241241233247,"sintetico_postestratificado",FALSE,FALSE,FALSE,"29","042","Xicohtzinco"
2051,-24.7094621647243,-38.4408504405939,-9.3414044824828,0.620965478875017,"muestra_directa",TRUE,0.373870857227773,"muestra_directa",TRUE,TRUE,TRUE,"29","044","Zacatelco"
2052,-24.8360251665679,-39.9955156561031,-7.4865037662035,0.641708774153777,"sintetico_postestratificado",FALSE,0.393348522488099,"sintetico_postestratificado",FALSE,FALSE,FALSE,"29","053","San Juan Huactzinco"
2053,-24.2026669686641,-40.1109644065238,-6.15724353364402,0.657854472534997,"sintetico_postestratificado",FALSE,0.415827802848356,"sintetico_postestratificado",FALSE,FALSE,FALSE,"29","008","Cuapiaxtla"
2054,-24.5987566634137,-38.7370017720057,-8.63906131490436,0.652504187359141,"sintetico_postestratificado",FALSE,0.406516620725003,"sintetico_postestratificado",FALSE,FALSE,FALSE,"29","029","Tepeyanco"
2055,-25.7331873209236,-41.0527017428453,-8.24467167249882,0.649521780791379,"sintetico_postestratificado",FALSE,0.392189907582143,"sintetico_postestratificado",FALSE,FALSE,FALSE,"29","046","Emiliano Zapata"
