"muni_idx","prev_principal_ponderado","prev_sensibilidad_sin_ponderar","n","dif_sin_menos_principal_pp","quintil_principal","quintil_sin_ponderar","cambia_quintil","estrato_n"
495,0.226214152330325,0.279961729082687,21,5.37475767523622,1,1,FALSE,"n=10-29"
498,0.419800453376755,0.430223645482492,3,1.04231921057363,3,4,TRUE,"n<=9"
501,0.721872097020009,0.703208457014603,3,-1.86636400054055,5,5,FALSE,"n<=9"
503,0.399360155292366,0.372524308091309,13,-2.68358472010566,3,2,TRUE,"n=10-29"
504,0.594519250866352,0.55293047315124,18,-4.15887777151123,5,5,FALSE,"n=10-29"
506,0.441504736428275,0.448039497180952,11,0.653476075267734,4,4,FALSE,"n=10-29"
507,0.415668969376344,0.428996209029345,15,1.33272396530016,3,4,TRUE,"n=10-29"
510,0.455276124679243,0.494011383626429,5,3.87352589471865,4,5,TRUE,"n<=9"
523,0.470358476872137,0.470134711261451,22,-0.0223765610685434,4,4,FALSE,"n=10-29"
527,0.364252153918225,0.410574816073547,11,4.63226621553218,2,3,TRUE,"n=10-29"
530,0.300164243136826,0.339871054736601,4,3.97068115997748,1,2,TRUE,"n<=9"
532,0.388032316500555,0.403998947587975,4,1.59666310874202,3,3,FALSE,"n<=9"
542,0.173195118529952,0.18824078592057,5,1.50456673906187,1,1,FALSE,"n<=9"
543,0.238467402511903,0.265352117248752,33,2.6884714736849,1,1,FALSE,"n>=30"
549,0.40873086104767,0.443177387318692,25,3.4446526271022,3,4,TRUE,"n=10-29"
559,0.327080730435954,0.328154172797169,13,0.107344236121498,2,1,TRUE,"n=10-29"
570,0.365035768826467,0.415242910570394,27,5.0207141743927,2,3,TRUE,"n=10-29"
580,0.348368994872149,0.390460227026595,31,4.20912321544464,2,3,TRUE,"n>=30"
588,0.280386206894721,0.276325612448376,11,-0.406059444634516,1,1,FALSE,"n=10-29"
591,0.489813693461301,0.497226817151633,4,0.741312369033192,4,5,TRUE,"n<=9"
596,0.246986282601081,0.318678378277573,14,7.1692095676492,1,1,FALSE,"n=10-29"
597,0.508032228006376,0.48844927735674,45,-1.95829506496362,5,5,FALSE,"n>=30"
603,0.407531928621111,0.450114623123343,6,4.25826945022321,3,4,TRUE,"n<=9"
607,0.495673312423175,0.504471814424715,8,0.879850200153975,4,5,TRUE,"n<=9"
616,0.493235116639189,0.487788728738823,11,-0.544638790036656,4,5,TRUE,"n=10-29"
625,0.452722742505306,0.498603715253187,4,4.58809727478819,4,5,TRUE,"n<=9"
634,0.464776131891883,0.455797426026694,4,-0.897870586518879,4,4,FALSE,"n<=9"
640,0.362899014119603,0.431738029259218,12,6.88390151396144,2,4,TRUE,"n=10-29"
647,0.429510959920563,0.438911155764278,10,0.940019584371521,4,4,FALSE,"n=10-29"
662,0.40565642944534,0.393782654236002,3,-1.18737752093381,3,3,FALSE,"n<=9"
666,0.339395894323751,0.433946417214515,19,9.45505228907649,2,4,TRUE,"n=10-29"
671,0.341877559661359,0.344257765333378,16,0.23802056720193,2,2,FALSE,"n=10-29"
677,0.499456833085077,0.50545887779814,7,0.600204471306381,5,5,FALSE,"n<=9"
678,0.294431488156399,0.305710209443924,9,1.12787212875252,1,1,FALSE,"n<=9"
681,0.36166769150807,0.311154406481716,27,-5.05132850263531,2,1,TRUE,"n=10-29"
682,0.747829404404087,0.699352875310648,4,-4.84765290934394,5,5,FALSE,"n<=9"
683,0.503197577390279,0.481537261181447,8,-2.1660316208832,5,5,FALSE,"n<=9"
688,0.379511804610799,0.370092555358508,21,-0.941924925229048,3,2,TRUE,"n=10-29"
692,0.37753478554047,0.333776409679671,24,-4.37583758607989,3,2,TRUE,"n=10-29"
694,0.492320636847512,0.375139001548343,12,-11.7181635299169,4,2,TRUE,"n=10-29"
695,0.361626703308627,0.335457752579231,9,-2.61689507293957,2,2,FALSE,"n<=9"
698,0.490157817622259,0.495881738191745,46,0.572392056948623,4,5,TRUE,"n>=30"
699,0.292994052044472,0.336766018413831,14,4.37719663693593,1,2,TRUE,"n=10-29"
705,0.66549602554326,0.583770818921908,7,-8.17252066213515,5,5,FALSE,"n<=9"
707,0.255765643926361,0.300456735883281,18,4.46910919569192,1,1,FALSE,"n=10-29"
708,0.568606052780651,0.500161819000378,7,-6.84442337802722,5,5,FALSE,"n<=9"
709,0.423988050642317,0.421576291629165,5,-0.241175901315183,3,3,FALSE,"n<=9"
710,0.266993095237316,0.305598105579453,10,3.86050103421372,1,1,FALSE,"n=10-29"
713,0.302102051541199,0.320983275560335,7,1.88812240191362,1,1,FALSE,"n<=9"
718,0.530845221168721,0.452604070002401,12,-7.82411511663197,5,4,TRUE,"n=10-29"
719,0.389159527464933,0.388448405697367,16,-0.0711121767565659,3,3,FALSE,"n=10-29"
720,0.40476804015057,0.38868692998873,29,-1.608111016184,3,3,FALSE,"n=10-29"
724,0.20089696198913,0.240804428254837,11,3.99074662657069,1,1,FALSE,"n=10-29"
725,0.406981624231474,0.383599127998207,7,-2.33824962332666,3,3,FALSE,"n<=9"
726,0.349372879464274,0.360260585049556,3,1.08877055852811,2,2,FALSE,"n<=9"
734,0.453056335537847,0.448560919967736,8,-0.449541557011163,4,4,FALSE,"n<=9"
736,0.382262249684416,0.41303681778857,31,3.0774568104154,3,3,FALSE,"n>=30"
738,0.492156189149672,0.498149195493924,26,0.599300634425187,4,5,TRUE,"n=10-29"
743,0.411541683744877,0.449659413194289,26,3.81177294494126,3,4,TRUE,"n=10-29"
749,0.418023361685843,0.402646228043499,7,-1.53771336423439,3,3,FALSE,"n<=9"
750,0.440122261342855,0.43106449264275,7,-0.905776870010488,4,4,FALSE,"n<=9"
751,0.40121201932931,0.391636476169726,16,-0.957554315958475,3,3,FALSE,"n=10-29"
759,0.398661813721192,0.37673634688283,5,-2.19254668383625,3,3,FALSE,"n<=9"
760,0.509062395826765,0.427050562830221,22,-8.20118329965441,5,4,TRUE,"n=10-29"
761,0.339340496307102,0.369889919151896,17,3.05494228447939,2,2,FALSE,"n=10-29"
766,0.468904566601004,0.492363031676498,6,2.34584650754941,4,5,TRUE,"n<=9"
770,0.515417970426738,0.466816832725339,40,-4.86011377013989,5,4,TRUE,"n>=30"
771,0.424445203648426,0.349131055856702,12,-7.53141477917243,3,2,TRUE,"n=10-29"
774,0.384660879460867,0.343520871983681,13,-4.11400074771851,3,2,TRUE,"n=10-29"
776,0.254099317373509,0.287771570529787,14,3.36722531562782,1,1,FALSE,"n=10-29"
777,0.386003332948643,0.350003637311896,11,-3.59996956367478,3,2,TRUE,"n=10-29"
778,0.398938163606712,0.301608916165025,5,-9.73292474416873,3,1,TRUE,"n<=9"
788,0.487051637154074,0.421800890162306,73,-6.52507469917683,4,3,TRUE,"n>=30"
789,0.473333002209907,0.440151658059551,19,-3.31813441503556,4,4,FALSE,"n=10-29"
792,0.396956703589347,0.347530688091963,16,-4.94260154973839,3,2,TRUE,"n=10-29"
793,0.325431167841936,0.348397535688834,24,2.29663678468979,2,2,FALSE,"n=10-29"
795,0.395865953936001,0.388659096054414,7,-0.720685788158765,3,3,FALSE,"n<=9"
802,0.427179085594424,0.437389532752513,8,1.02104471580887,4,4,FALSE,"n<=9"
809,0.422151798367291,0.354732409708829,16,-6.74193886584616,3,2,TRUE,"n=10-29"
819,0.542013803385443,0.48497859480353,6,-5.7035208581913,5,5,FALSE,"n<=9"
821,0.270176683188241,0.315052260225007,8,4.48755770367662,1,1,FALSE,"n<=9"
824,0.629052204239526,0.597753201104044,11,-3.12990031354813,5,5,FALSE,"n=10-29"
