"muni_id","prevalencia","ci_l","ci_u","n","cv_pct"
"11_030",0.474133094769606,0.274613538503656,0.673652651035557,29,21.4698558475208
"11_031",0.589121415618397,0.389900017629716,0.788342813607077,13,17.2534163090462
"11_032",0.434720576842162,0.115298727314044,0.75414242637028,23,37.4885248302999
"11_033",0.354357519492375,0.21512488514801,0.49359015383674,16,20.0467196070014
"11_035",0.339079840654082,0.339079840654082,0.339079840654082,4,0
"11_037",0.621071150389447,0.250037858503719,0.992104442275175,41,30.4800343443733
"11_039",0.756287282135205,0.756287282135205,0.756287282135205,12,7.48975068160724e-15
"11_041",0.433867730534614,0.311435409798906,0.556300051270322,27,14.3973532408474
"11_042",0.502680846126597,0.40727819124295,0.598083501010243,25,9.68304726453997
"11_043",0.0815058978699404,0.0815058978699403,0.0815058978699404,8,8.68710629367856e-15
"11_044",0.388418371572603,0.377127907961651,0.399708835183555,21,1.4830505041536
"11_046",0.324783364665064,0.262016725341041,0.387550003989087,10,9.86004797582723
"12_001",0.385226865781897,0.223531225389866,0.546922506173928,61,21.4153744294997
"12_007",0.435069070326577,0.435069070326577,0.435069070326577,14,0
"12_011",0.314955571927782,0.314955571927782,0.314955571927782,10,0
"12_012",0.382255368146693,0.382255368146693,0.382255368146693,10,7.40918723303487e-15
"12_014",0.415763574342771,0.415763574342771,0.415763574342772,11,1.36240968098689e-14
"12_027",0.630922515385455,0.581242264829226,0.680602765941684,15,4.01746109739566
"12_029",0.380149641741282,0.306957347915561,0.453341935567002,18,9.82323878641282
"12_031",0.186997271796771,0.186997271796771,0.186997271796771,3,0
"12_032",0.667760544610114,0.667760544610114,0.667760544610115,13,8.48268624521732e-15
"12_035",0.203450278309995,0.190481233677506,0.216419322942484,18,3.2523226615054
"12_038",0.537227595641525,0.537227595641525,0.537227595641525,13,0
"12_039",0.568149678504036,0.568149678504036,0.568149678504036,11,0
"12_042",0.508969002778979,0.508969002778978,0.508969002778979,8,1.11291712381998e-14
"12_051",0.174561553805436,0.140244932876817,0.208878174734054,26,10.0299749194124
"12_053",1,1,1,1,0
"12_056",0.530923862437755,0.530923862437755,0.530923862437755,5,1.06689557347352e-14
"12_061",0.482282535146054,0.482282535146054,0.482282535146054,10,1.1744989241934e-14
"12_062",0.232011385970918,0.232011385970918,0.232011385970918,6,0
"12_064",0.203906611130373,0.203906611130373,0.203906611130373,5,6.94484984506139e-15
"12_075",0.298764017495023,0.297075241342956,0.300452793647089,13,0.28839499916103
"13_002",0,0,0,4,NA
"13_006",0.443162054926623,0.443162054926623,0.443162054926623,13,0
"13_008",0.765127544384139,0.765127544384139,0.765127544384139,7,7.40321431170328e-15
"13_010",0.85547636665219,0.85547636665219,0.85547636665219,7,0
"13_018",0.372169300314088,0.372169300314088,0.372169300314088,8,7.6099817772216e-15
"13_024",0.693435412556989,0.693435412556989,0.693435412556989,6,1.63372192544249e-14
"13_027",0.412395193297086,0.412395193297086,0.412395193297086,11,0
"13_028",0.370901880176294,-0.0272001668993015,0.769003927251889,15,54.7620004589196
"13_029",0.430972246431633,0.430972246431633,0.430972246431633,3,6.57165656694046e-15
"13_035",0.393786906203869,0.393786906203869,0.393786906203869,9,7.19221880873116e-15
"13_037",0.552603380498025,0.552603380498025,0.552603380498025,18,1.02503954676464e-14
"13_041",0.213808360816804,0.213808360816804,0.213808360816804,16,6.62322460780244e-15
