"muni_idx","prev_ESH","prev_AHA","diferencia_pp","cve_ent","cve_mun","nomgeo"
191,0.624011252907726,0.451076132046097,-17.2935120861628,"07","115","Maravilla Tenejapa"
199,0.691984960735063,0.530496331279019,-16.1488629456044,"07","061","Ocozocoautla de Espinosa"
201,0.603678904352227,0.415868912471268,-18.7809991880959,"07","087","Suchiate"
221,0.608587525264944,0.480408411922353,-12.8179113342592,"08","050","Nuevo Casas Grandes"
222,0.675083424811759,0.481464758596229,-19.361866621553,"08","031","Guerrero"
223,0.533250590618158,0.502540260891381,-3.07103297267763,"08","055","Rosales"
224,0.777621944168762,0.580756157251804,-19.6865786916958,"08","025","Gómez Farías"
225,0.562857780737837,0.301096361807912,-26.1761418929925,"08","023","Galeana"
229,0.745695704936867,0.582383641131566,-16.3312063805302,"08","021","Delicias"
231,0.630736930670339,0.397409117022474,-23.3327813647865,"08","017","Cuauhtémoc"
234,0.658566962892103,0.464653395733456,-19.3913567158647,"08","052","Ojinaga"
235,0.727437253857358,0.394489837202288,-33.2947416655069,"08","013","Casas Grandes"
237,0.681044639760032,0.46693921500275,-21.4105424757282,"08","011","Camargo"
241,0.857670819050083,0.639865012501463,-21.780580654862,"08","006","Bachíniva"
242,0.627192877286689,0.365216980774408,-26.1975896512282,"08","004","Aquiles Serdán"
244,0.767632708839834,0.667992173732687,-9.96405351071464,"08","032","Hidalgo del Parral"
259,0.704543047695846,0.495227761090425,-20.931528660542,"08","019","Chihuahua"
260,0.564925789310991,0.430173129433745,-13.4752659877246,"08","064","El Tule"
262,0.711892750145671,0.480805724534267,-23.1087025611404,"08","037","Juárez"
273,0.788014596450393,0.5538313088096,-23.4183287640793,"08","036","Jiménez"
275,0.686512624197213,0.553487737103378,-13.3024887093835,"08","002","Aldama"
276,0.646130465432157,0.454445628211441,-19.1684837220716,"09","012","Tlalpan"
277,0.717272650251666,0.497202910249247,-22.0069740002419,"09","009","Milpa Alta"
278,0.751495811856471,0.535738935738034,-21.5756876118437,"09","015","Cuauhtémoc"
279,0.742593426130617,0.519049206553042,-22.3544219577575,"09","007","Iztapalapa"
280,0.736328120083256,0.473435867938098,-26.2892252145158,"09","008","La Magdalena Contreras"
281,0.757985984767329,0.509649996845936,-24.8335987921393,"09","010","Álvaro Obregón"
282,0.72567082018137,0.462290198591693,-26.3380621589677,"09","003","Coyoacán"
283,0.728933669461189,0.474332728283043,-25.4600941178146,"09","016","Miguel Hidalgo"
284,0.776359053569157,0.49249573851027,-28.3863315058887,"09","004","Cuajimalpa de Morelos"
285,0.740861535775845,0.559077611595688,-18.1783924180157,"09","006","Iztacalco"
286,0.706063143885161,0.5035291158211,-20.2534028064061,"09","011","Tláhuac"
287,0.600602779206337,0.388981596405382,-21.1621182800956,"09","013","Xochimilco"
288,0.73682723761892,0.539112482280668,-19.7714755338252,"09","005","Gustavo A. Madero"
289,0.753876263066761,0.54620134301179,-20.767492005497,"09","002","Azcapotzalco"
290,0.649339825782294,0.454876360567016,-19.4463465215278,"09","017","Venustiano Carranza"
291,0.71620934730881,0.498021559003073,-21.8187788305737,"09","014","Benito Juárez"
292,0.710924424835612,0.532800981150114,-17.8123443685498,"10","006","General Simón Bolívar"
293,0.701155353302732,0.48047868700547,-22.0676666297263,"10","008","Guadalupe Victoria"
299,0.706474524035337,0.456900902857809,-24.9573621177528,"10","038","Vicente Guerrero"
303,0.68355035604719,0.507780805355297,-17.5769550691893,"10","032","Santiago Papasquiaro"
305,0.624854816092176,0.434623848754076,-19.0230967338101,"10","007","Gómez Palacio"
308,0.734552719067185,0.48451044281876,-25.0042276248425,"10","022","Poanas"
309,0.681853889603746,0.422324415721525,-25.9529473882221,"10","028","San Juan del Río"
312,0.705258335909408,0.503381368216429,-20.1876967692979,"10","005","Durango"
314,0.646634824431216,0.459798700215943,-18.6836124215273,"10","033","Súchil"
316,0.76700963002215,0.538717875637344,-22.8291754384806,"10","012","Lerdo"
321,0.665177713329263,0.4581777188782,-20.6999994451063,"10","013","Mapimí"
322,0.777722087629512,0.569730901996668,-20.7991185632843,"10","016","Nombre de Dios"
326,0.647107090060021,0.437195603989213,-20.9911486070808,"10","039","Nuevo Ideal"
327,0.712431354374566,0.383143318921913,-32.9288035452653,"10","021","Peñón Blanco"
331,0.614770971292725,0.426607620126526,-18.8163351166199,"11","019","Jerécuaro"
332,0.724480581399338,0.508192838505257,-21.6287742894081,"11","020","León"
334,0.636766867759331,0.434342467124193,-20.2424400635138,"11","023","Pénjamo"
336,0.715402720647452,0.550937281106826,-16.4465439540626,"11","039","Tarimoro"
338,0.593552230371149,0.375513464748149,-21.8038765623,"11","041","Uriangato"
339,0.703346523762475,0.456801806147302,-24.6544717615173,"11","002","Acámbaro"
340,0.602243488287111,0.369980434432068,-23.2263053855043,"11","012","Cuerámaro"
341,0.658001411789598,0.440250861210075,-21.7750550579523,"11","013","Doctor Mora"
342,0.732064060244688,0.506030957923446,-22.6033102321242,"11","014","Dolores Hidalgo Cuna de la Independencia Nacional"
343,0.699198516042604,0.439714280869042,-25.9484235173561,"11","022","Ocampo"
345,0.657133790155344,0.44560370052458,-21.1530089630764,"11","030","San Felipe"
347,0.671399944622951,0.420057851245886,-25.1342093377065,"11","007","Celaya"
348,0.61061039010165,0.389386494701214,-22.1223895400436,"11","027","Salamanca"
349,0.674921839037424,0.381195843707311,-29.3725995330113,"11","035","Santa Cruz de Juventino Rosas"
350,0.794907285463333,0.638156349058455,-15.6750936404877,"11","011","Cortazar"
351,0.658998441868263,0.448253094946316,-21.0745346921947,"11","031","San Francisco del Rincón"
352,0.676894629986534,0.45377205822516,-22.3122571761374,"11","025","Purísima del Rincón"
353,0.676049992344074,0.346808076178969,-32.9241916165106,"11","026","Romita"
354,0.680356288572566,0.443184925566322,-23.7171363006244,"11","028","Salvatierra"
355,0.46537864315685,0.255699954817817,-20.9678688339033,"11","029","San Diego de la Unión"
356,0.645706747493674,0.420272100753277,-22.5434646740397,"11","032","San José Iturbide"
357,0.596518921655573,0.4106821345604,-18.5836787095172,"11","033","San Luis de la Paz"
359,0.706340731839261,0.458604717446814,-24.7736014392447,"11","037","Silao de la Victoria"
360,0.636557012872128,0.490688612485384,-14.5868400386744,"11","042","Valle de Santiago"
361,0.732035544850577,0.296509923423689,-43.5525621426888,"11","043","Victoria"
363,0.625397388502247,0.408444987874108,-21.6952400628139,"11","044","Villagrán"
364,0.652162057987568,0.405953396302518,-24.620866168505,"11","046","Yuriria"
365,0.632099860776038,0.383052774080013,-24.9047086696025,"11","001","Abasolo"
366,0.615231319560423,0.391395339802368,-22.3835979758056,"11","003","San Miguel de Allende"
367,0.712175418958566,0.529075385388421,-18.3100033570145,"11","004","Apaseo el Alto"
368,0.696790468208087,0.467380520798645,-22.9409947409442,"11","005","Apaseo el Grande"
370,0.840279308941992,0.750560919418118,-8.97183895238745,"11","008","Manuel Doblado"
371,0.672165716690334,0.484404100431125,-18.7761616259209,"11","009","Comonfort"
373,0.717581593897252,0.487857082861091,-22.9724511036161,"11","015","Guanajuato"
374,0.607715800108702,0.456969207145978,-15.0746592962724,"11","016","Huanímaro"
375,0.685130851673427,0.479084525556347,-20.604632611708,"11","017","Irapuato"
376,0.663881098509868,0.389710802246282,-27.4170296263586,"11","018","Jaral del Progreso"
378,0.63518657185982,0.4791108015635,-15.607577029632,"12","031","General Canuto A. Neri"
385,0.69297837829795,0.580589942553989,-11.2388435743961,"12","053","San Marcos"
388,0.579433569107856,0.380855246818331,-19.8578322289525,"12","007","Arcelia"
389,0.684459059082994,0.384904701000978,-29.9554358082015,"12","012","Ayutla de los Libres"
392,0.650619901555837,0.376864794569467,-27.375510698637,"12","011","Atoyac de Álvarez"
393,0.610657062784724,0.406012618299868,-20.4644444484855,"12","032","General Heliodoro Castillo"
395,0.60574739335322,0.424828859395199,-18.0918533958022,"12","029","Chilpancingo de los Bravo"
398,0.679280487421614,0.510580940327941,-16.8699547093672,"12","039","Juan R. Escudero"
399,0.711435364997257,0.456464899096075,-25.4970465901182,"12","038","Zihuatanejo de Azueta"
402,0.564977111223896,0.3241661804412,-24.0810930782697,"12","064","Tlalchapa"
404,0.629687420982337,0.413179762311384,-21.6507658670953,"12","001","Acapulco de Juárez"
412,0.703770026558862,0.478783362343345,-22.4986664215517,"12","042","Mártir de Cuilapan"
415,0.707631813080083,0.462629221883083,-24.5002591196999,"12","075","Eduardo Neri"
423,0.596161936960796,0.409807422928093,-18.6354514032703,"12","062","Tlacoachistlahuaca"
427,0.737606779840498,0.569341163934921,-16.8265615905577,"12","027","Cutzamala de Pinzón"
435,0.704470858569045,0.501335728264895,-20.313513030415,"12","061","Tixtla de Guerrero"
437,0.687922366429255,0.548099334079178,-13.9823032350077,"12","056","Tecoanapa"
440,0.682536935019383,0.440850060430057,-24.1686874589326,"12","035","Iguala de la Independencia"
450,0.530029601572682,0.286771462741373,-24.3258138831309,"12","051","Quechultenango"
