"muni_idx","n","prev_sin","prev_con","dif_pp","quintil_sin","quintil_con","cambia_quintil"
283,9,0.826998012867435,0.874941627316963,4.79436144495282,3,4,TRUE
284,3,0.84023604003821,0.875951176670299,3.57151366320888,3,4,TRUE
285,25,0.845347339477334,0.789301251031779,-5.60460884455549,3,2,TRUE
286,16,0.753315710315616,0.781943613182566,2.86279028669501,1,2,TRUE
287,14,0.797095425730217,0.773592913842655,-2.35025118875616,2,2,FALSE
288,55,0.847049676305214,0.792179976358817,-5.48696999463966,3,2,TRUE
289,17,0.825778900104511,0.841425892045694,1.56469919411836,3,3,FALSE
290,22,0.881924169877574,0.878034598305865,-0.388957157170877,4,4,FALSE
291,5,0.814956470985105,0.828471423895121,1.35149529100154,2,3,TRUE
292,12,0.832205007943635,0.865478742992931,3.3273735049296,3,4,TRUE
293,13,0.911656843282981,0.8629801028641,-4.86767404188803,5,4,TRUE
299,5,0.906757888754902,0.883182524244574,-2.35753645103276,5,4,TRUE
303,1,0.963102222391443,0.964353435913549,0.125121352210633,5,5,FALSE
305,26,0.894537859865919,0.89828852680887,0.375066694295068,5,4,TRUE
308,3,0.865509025409253,0.850517579000142,-1.49914464091112,4,3,TRUE
309,9,0.870334967090993,0.831979184043318,-3.83557830476745,4,3,TRUE
312,56,0.885393916459038,0.903349659664261,1.79557432052225,4,5,TRUE
314,8,0.893058958434651,0.831080951865303,-6.19780065693486,4,3,TRUE
316,26,0.907502555121984,0.945165733761974,3.76631786399898,5,5,FALSE
321,4,0.742209523155916,0.6617339973358,-8.04755258201159,1,1,FALSE
322,9,0.894548370727402,0.878556334877202,-1.59920358501999,5,4,TRUE
326,3,0.901377357088887,0.881031732822318,-2.03456242665689,5,4,TRUE
327,2,0.797657757323968,0.744550019060334,-5.31077382636338,2,2,FALSE
331,7,0.812775432706886,0.847406866031113,3.46314333242272,2,3,TRUE
332,134,0.828915172396156,0.797696345043661,-3.12188273524947,3,2,TRUE
334,17,0.80466928380281,0.685173343814847,-11.9495939987962,2,1,TRUE
336,10,0.892058155313219,0.897754988979552,0.5696833666333,4,4,FALSE
338,11,0.714970116143156,0.673139421860696,-4.18306942824607,1,1,FALSE
339,10,0.854095228258976,0.864760562146607,1.06653338876311,3,4,TRUE
340,2,0.944000924362843,0.937136379907613,-0.686454445523021,5,5,FALSE
341,7,0.801549496396096,0.801446403082379,-0.0103093313716496,2,2,FALSE
342,19,0.830362081135866,0.789579418587612,-4.07826625482541,3,2,TRUE
343,9,0.858609789646261,0.877371165373292,1.87613757270304,3,4,TRUE
345,14,0.842758399867037,0.854373126523074,1.16147266560365,3,3,FALSE
347,37,0.868050681074021,0.896203897264822,2.81532161908005,4,4,FALSE
348,13,0.848706645961122,0.81841505532811,-3.0291590633012,3,3,FALSE
349,2,0.853810539930707,0.847057706704238,-0.675283322646925,3,3,FALSE
350,2,0.889165800774782,0.876909565134462,-1.22562356403197,4,4,FALSE
351,6,0.831910521960761,0.831939356610567,0.00288346498059644,3,3,FALSE
352,8,0.817248888148922,0.820037015228641,0.278812707971832,2,3,TRUE
353,2,0.844388397627703,0.839595552500345,-0.479284512735811,3,3,FALSE
354,6,0.819194310760952,0.803543127897893,-1.56511828630582,2,2,FALSE
355,2,0.499870270092861,0.547576796094458,4.77065260015974,1,1,FALSE
356,7,0.773289501761296,0.690654169978654,-8.26353317826418,2,1,TRUE
357,6,0.856581899107721,0.825039964943675,-3.15419341640452,3,3,FALSE
359,18,0.851517871700196,0.736792071763406,-11.4725799936789,3,1,TRUE
360,14,0.844739501786099,0.852834681692225,0.809517990612574,3,3,FALSE
361,2,0.772609697720116,0.722522874304651,-5.00868234154649,2,1,TRUE
363,8,0.805907668342504,0.816150703594933,1.02430352524292,2,3,TRUE
364,4,0.766354889110677,0.752505040594176,-1.38498485165013,2,2,FALSE
365,5,0.872171347540601,0.827376152512858,-4.4795195027743,4,3,TRUE
366,8,0.875697204613587,0.861078966047386,-1.46182385662016,4,3,TRUE
367,11,0.87906902592621,0.906495518242158,2.74264923159483,4,5,TRUE
368,13,0.860098012038672,0.901902018482604,4.18040064439315,4,4,FALSE
370,1,0.946356354050094,0.935495691238826,-1.0860662811268,5,5,FALSE
371,7,0.855788623471779,0.807702768775366,-4.80858546964125,3,2,TRUE
373,23,0.793913434905567,0.743112389934578,-5.08010449709896,2,2,FALSE
374,6,0.928747248531297,0.914957496284309,-1.3789752246988,5,5,FALSE
375,41,0.822288910946311,0.677655256381739,-14.4633654564571,2,1,TRUE
376,9,0.83923395219105,0.853843746957821,1.46097947667709,3,3,FALSE
378,1,0.917338352035517,0.902849346784961,-1.44890052505563,5,4,TRUE
385,1,0.885502285054169,0.904847426084907,1.93451410307378,4,5,TRUE
388,6,0.803916755929339,0.814374043678042,1.04572877487025,2,2,FALSE
389,6,0.712950154708929,0.676641316811201,-3.63088378977279,1,1,FALSE
392,2,0.906704437910118,0.897559380787233,-0.914505712288505,5,4,TRUE
393,8,0.774264065611023,0.729083784595981,-4.51802810150418,2,1,TRUE
395,8,0.665532390545535,0.619248472229374,-4.62839183161614,1,1,FALSE
398,7,0.763610854710404,0.743758651656916,-1.98522030534883,1,2,TRUE
399,7,0.865013035495012,0.909168835001076,4.4155799506064,4,5,TRUE
402,1,0.752066530704177,0.660607652189906,-9.14588785142713,1,1,FALSE
404,24,0.70461649467843,0.572559076308605,-13.2057418369825,1,1,FALSE
412,6,0.762031786747957,0.773506693819673,1.14749070717163,1,2,TRUE
415,6,0.835502972488533,0.78221202133549,-5.32909511530432,3,2,TRUE
423,1,0.952855404400345,0.942625616183641,-1.02297882167041,5,5,FALSE
427,9,0.873010349137363,0.882814987145997,0.980463800863474,4,4,FALSE
435,6,0.864438561734038,0.870962007753178,0.65234460191399,4,4,FALSE
437,1,0.894057456894745,0.873577117916568,-2.04803389781776,4,4,FALSE
440,8,0.87761797013474,0.86112625635802,-1.64917137767203,4,3,TRUE
450,4,0.722990508875321,0.638801725699309,-8.41887831760122,1,1,FALSE
455,6,0.921083294042184,0.910274487107982,-1.08088069342017,5,5,FALSE
463,6,0.867901930968867,0.880981378196951,1.30794472280841,4,4,FALSE
466,2,0.898347222261445,0.874533203566723,-2.38140186947218,5,4,TRUE
468,3,0.843731828508473,0.746988174898768,-9.6743653609705,3,2,TRUE
474,4,0.912165208537999,0.897864734742501,-1.43004737954984,5,4,TRUE
475,3,0.770617253269963,0.723796509453933,-4.68207438160302,2,1,TRUE
477,11,0.868301309334065,0.891636018265473,2.33347089314078,4,4,FALSE
482,4,0.792310623649167,0.76929635740163,-2.3014266247537,2,2,FALSE
488,6,0.830192263150478,0.815646889215551,-1.45453739349268,3,3,FALSE
491,4,0.830203316916713,0.855479392941862,2.52760760251489,3,3,FALSE
492,11,0.845801442803823,0.871084329133343,2.52828863295206,3,4,TRUE
495,6,0.840306130166956,0.875982962668054,3.56768325010981,3,4,TRUE
498,1,0.769589340575186,0.75479640467104,-1.47929359041463,2,2,FALSE
501,3,0.939069802210646,0.932899412945355,-0.617038926529179,5,5,FALSE
503,5,0.829718227006734,0.851579217735278,2.18609907285445,3,3,FALSE
504,9,0.865538427370802,0.869730171344006,0.419174397320421,4,4,FALSE
506,4,0.907643713529145,0.907784377217513,0.0140663688367404,5,5,FALSE
507,6,0.833738186158373,0.815370457645159,-1.83677285132138,3,3,FALSE
510,1,0.881924464693893,0.893487480500576,1.15630158066835,4,4,FALSE
523,10,0.900163677908133,0.889121641118617,-1.10420367895167,5,4,TRUE
527,2,0.746998172504462,0.727144722216949,-1.98534502875124,1,1,FALSE
532,1,0.888266036040938,0.882863705632627,-0.540233040831173,4,4,FALSE
543,9,0.68939032409788,0.682339488692878,-0.705083540500129,1,1,FALSE
549,11,0.815156883923826,0.758786678129416,-5.63702057944097,2,2,FALSE
559,7,0.785971911813359,0.778789682015733,-0.718222979762617,2,2,FALSE
570,10,0.884773663455748,0.866367139562145,-1.84065238936026,4,4,FALSE
580,14,0.861004257930496,0.861549811497498,0.0545553567002699,4,3,TRUE
588,2,0.468051102154123,0.460237076521437,-0.781402563268535,1,1,FALSE
591,3,0.929081013926658,0.920575599795967,-0.850541413069095,5,5,FALSE
596,1,0.713490884195306,0.697553190647591,-1.59376935477142,1,1,FALSE
597,23,0.869572443582403,0.851591626804713,-1.79808167776903,4,3,TRUE
603,1,0.814719029832768,0.791920617095563,-2.27984127372052,2,2,FALSE
607,3,0.806556366205517,0.775576282619804,-3.09800835857121,2,2,FALSE
616,7,0.864182904110042,0.80363659682735,-6.05463072826914,4,2,TRUE
634,2,0.815214795679344,0.791518032448008,-2.36967632313357,2,2,FALSE
640,3,0.934890238378474,0.942791930114285,0.790169173581157,5,5,FALSE
647,4,0.822986134251024,0.850705678997877,2.77195447468535,3,3,FALSE
662,1,0.655007578109256,0.650858804069724,-0.41487740395324,1,1,FALSE
666,10,0.71622592904487,0.574638124397948,-14.1587804646922,1,1,FALSE
671,5,0.862032873397822,0.888842023677327,2.68091502795054,4,4,FALSE
677,3,0.858305849944487,0.85642866655979,-0.187718338469745,3,3,FALSE
678,3,0.647535530701566,0.555629733826447,-9.19057968751191,1,1,FALSE
681,12,0.667676702561134,0.688419401443438,2.07426988823041,1,1,FALSE
682,4,0.879717814170864,0.807513412808597,-7.22044013622672,4,2,TRUE
683,6,0.793146612252932,0.775911783376323,-1.72348288766087,2,2,FALSE
688,9,0.87557768352793,0.904964651882886,2.93869683549557,4,5,TRUE
692,10,0.809095622334588,0.824012679130357,1.49170567957696,2,3,TRUE
694,5,0.727054815209142,0.576135098076774,-15.0919717132368,1,1,FALSE
695,3,0.740999881076542,0.669349195790621,-7.16506852859209,1,1,FALSE
698,23,0.85520342985345,0.91940585116219,6.42024213087398,3,5,TRUE
699,5,0.735362366029885,0.667217701649906,-6.81446643799792,1,1,FALSE
705,6,0.846031190615958,0.877422264001091,3.13910733851335,3,4,TRUE
707,4,0.841001840689972,0.781052444389897,-5.99493963000746,3,2,TRUE
708,4,0.889044172141542,0.905431459997473,1.63872878559305,4,5,TRUE
709,2,0.755608605387513,0.755956845780705,0.0348240393192034,1,2,TRUE
710,2,0.622654883383339,0.572667509706712,-4.99873736766272,1,1,FALSE
713,1,0.766956112221881,0.694846198828918,-7.21099133929626,2,1,TRUE
718,6,0.75994269776132,0.80770424139013,4.77615436288108,1,2,TRUE
