"muni_idx","obs","pred_bym2","pred_naive","n","vecinos_retenidos","estrato_vecinos"
986,0.823529411764706,0.654221148147171,0.646508443633044,17,0,"0"
990,0.652173913043478,0.673894320092062,0.646508443633044,46,2,"1-2"
995,0.75,0.52272324350953,0.646508443633044,4,1,"1-2"
996,0.625,0.675510172130952,0.646508443633044,8,5,"3+"
998,0.666666666666667,0.690191387049904,0.646508443633044,30,2,"1-2"
1031,0,0.486078388418546,0.646508443633044,1,0,"0"
1056,0.571428571428571,0.634455038055726,0.646508443633044,7,0,"0"
1062,1,0.653512042122093,0.646508443633044,5,0,"0"
1077,1,0.595054600552936,0.646508443633044,1,0,"0"
1086,1,0.730566304292001,0.646508443633044,5,0,"0"
1113,1,0.626106027562327,0.646508443633044,2,0,"0"
1126,0.75,0.621688360026623,0.646508443633044,4,0,"0"
1139,0.571428571428571,0.60180301234123,0.646508443633044,7,0,"0"
1175,1,0.640789054389803,0.646508443633044,4,0,"0"
1188,1,0.538782327554967,0.646508443633044,3,0,"0"
1192,0.3,0.673678275347164,0.646508443633044,10,0,"0"
1193,0.5,0.582816504005694,0.646508443633044,4,0,"0"
1224,0.666666666666667,0.535633760777427,0.646508443633044,6,0,"0"
1248,0.666666666666667,0.631932833045536,0.646508443633044,6,2,"1-2"
1276,0.5,0.618328435145812,0.646508443633044,2,0,"0"
1346,0.5,0.497197308665696,0.646508443633044,2,0,"0"
1356,1,0.717946442265598,0.646508443633044,1,0,"0"
1374,0.5,0.528080908511577,0.646508443633044,2,0,"0"
1433,0.75,0.603974874478057,0.646508443633044,4,0,"0"
1474,1,0.686959156097642,0.646508443633044,1,2,"1-2"
1475,0.666666666666667,0.550568432068173,0.646508443633044,3,1,"1-2"
1483,0.666666666666667,0.677503126764494,0.646508443633044,3,1,"1-2"
1500,0,0.599185923150291,0.646508443633044,4,0,"0"
1512,1,0.585716697684691,0.646508443633044,2,4,"3+"
1515,0.5,0.734537978277457,0.646508443633044,2,1,"1-2"
1517,1,0.660967820468443,0.646508443633044,3,1,"1-2"
1520,1,0.695238312864,0.646508443633044,2,0,"0"
1531,1,0.648304311400217,0.646508443633044,1,1,"1-2"
1565,0,0.703523440183474,0.646508443633044,2,0,"0"
1566,1,0.647676264348974,0.646508443633044,1,0,"0"
1569,0.5,0.63835310376136,0.646508443633044,4,2,"1-2"
1592,0.5,0.621091693641536,0.646508443633044,12,0,"0"
1598,0.666666666666667,0.555991110045745,0.646508443633044,6,1,"1-2"
1602,0.5,0.577848637349617,0.646508443633044,2,3,"3+"
1608,1,0.521545913014616,0.646508443633044,2,1,"1-2"
1620,0.5,0.504383512147779,0.646508443633044,2,0,"0"
1623,0,0.475637153238651,0.646508443633044,1,0,"0"
1626,0.5,0.567541324145765,0.646508443633044,6,1,"1-2"
1629,0.666666666666667,0.483309821318935,0.646508443633044,3,0,"0"
1632,0.833333333333333,0.627497814017055,0.646508443633044,6,2,"1-2"
1640,1,0.549886778373067,0.646508443633044,2,0,"0"
1654,0.5,0.585065115673346,0.646508443633044,2,2,"1-2"
1666,0.5,0.542154449681871,0.646508443633044,2,0,"0"
1678,0,0.592681518699883,0.646508443633044,2,0,"0"
1695,0.5,0.652702009852928,0.646508443633044,4,0,"0"
1735,1,0.615938795126903,0.646508443633044,2,1,"1-2"
1751,0.666666666666667,0.578126781074472,0.646508443633044,3,3,"3+"
1756,1,0.593787896217848,0.646508443633044,3,1,"1-2"
1757,0.6875,0.667125300634351,0.646508443633044,16,4,"3+"
1758,0.666666666666667,0.57983361990448,0.646508443633044,6,0,"0"
1763,0.5,0.721614458177888,0.646508443633044,2,2,"1-2"
1774,0.75,0.543151097310825,0.646508443633044,8,1,"1-2"
1780,0.6,0.611154706637254,0.646508443633044,5,0,"0"
1785,0.333333333333333,0.538424144843329,0.646508443633044,3,1,"1-2"
1792,0.5,0.746454524756821,0.646508443633044,2,5,"3+"
1798,0,0.58288584616918,0.646508443633044,1,2,"1-2"
1800,0.333333333333333,0.599602189022647,0.646508443633044,3,0,"0"
1803,0.5,0.533641811991022,0.646508443633044,2,1,"1-2"
1805,0.857142857142857,0.700221366908963,0.646508443633044,7,4,"3+"
1807,0.5,0.646361315369528,0.646508443633044,8,4,"3+"
1808,0,0.612798003732322,0.646508443633044,2,3,"3+"
1810,0.526315789473684,0.63663060245776,0.646508443633044,19,4,"3+"
1812,1,0.643383605815752,0.646508443633044,2,1,"1-2"
1814,0.714285714285714,0.612591507643472,0.646508443633044,7,2,"1-2"
1815,0.661016949152542,0.677100701237256,0.646508443633044,59,6,"3+"
1817,0.666666666666667,0.557729446126802,0.646508443633044,3,2,"1-2"
1819,0.8,0.670961121427552,0.646508443633044,10,6,"3+"
1821,1,0.597607419215207,0.646508443633044,3,1,"1-2"
1823,0.785714285714286,0.473682329573463,0.646508443633044,14,4,"3+"
1824,0.68,0.651873818870486,0.646508443633044,25,1,"1-2"
1825,0.5625,0.575956828249711,0.646508443633044,16,0,"0"
1827,0.571428571428571,0.606381737688976,0.646508443633044,7,4,"3+"
1829,0.5,0.651277342267241,0.646508443633044,2,2,"1-2"
1830,0.5,0.456518233361191,0.646508443633044,2,2,"1-2"
1831,0.666666666666667,0.639913061762669,0.646508443633044,3,3,"3+"
1832,0.8,0.723495254364686,0.646508443633044,5,2,"1-2"
1833,0.333333333333333,0.581459781042152,0.646508443633044,3,0,"0"
1834,0.666666666666667,0.606370124760419,0.646508443633044,6,0,"0"
1839,0.8125,0.659346646750862,0.646508443633044,16,0,"0"
1846,1,0.756987825744816,0.646508443633044,1,0,"0"
1848,0.727272727272727,0.723028268507303,0.646508443633044,11,1,"1-2"
1853,0.555555555555556,0.561721280364177,0.646508443633044,9,0,"0"
1856,0.694444444444444,0.705414811600363,0.646508443633044,36,2,"1-2"
1865,0.285714285714286,0.597078785644126,0.646508443633044,7,0,"0"
1869,1,0.555728372855229,0.646508443633044,3,3,"3+"
1876,0.625,0.647559594940772,0.646508443633044,8,4,"3+"
1882,0.555555555555556,0.571571622461817,0.646508443633044,9,0,"0"
1887,1,0.715298418573764,0.646508443633044,1,0,"0"
1890,1,0.560660282009642,0.646508443633044,1,4,"3+"
1891,0.727272727272727,0.593685327943265,0.646508443633044,11,2,"1-2"
1892,0.25,0.596852508760905,0.646508443633044,4,2,"1-2"
1894,0.833333333333333,0.63627000172809,0.646508443633044,12,2,"1-2"
1897,0.67741935483871,0.624519690950937,0.646508443633044,31,1,"1-2"
1898,0.444444444444444,0.630540100034095,0.646508443633044,9,2,"1-2"
1901,1,0.652741917506879,0.646508443633044,6,1,"1-2"
1902,0.333333333333333,0.544944764132868,0.646508443633044,3,1,"1-2"
1903,0.666666666666667,0.589186521314448,0.646508443633044,6,2,"1-2"
1904,0.703703703703704,0.661830122577291,0.646508443633044,27,1,"1-2"
1905,0.666666666666667,0.606751898104112,0.646508443633044,3,2,"1-2"
1907,0.466666666666667,0.617994333751089,0.646508443633044,15,3,"3+"
1908,0.736842105263158,0.655389938524227,0.646508443633044,38,3,"3+"
1909,0.8,0.623773388263743,0.646508443633044,5,4,"3+"
1910,0.516129032258065,0.637566974049286,0.646508443633044,31,2,"1-2"
1913,0.5,0.57466304960028,0.646508443633044,4,1,"1-2"
1924,0.25,0.730338217884439,0.646508443633044,4,1,"1-2"
1925,0.526315789473684,0.607429122269391,0.646508443633044,19,1,"1-2"
1928,0.6,0.56098706566124,0.646508443633044,5,0,"0"
